标题,标题链接,首页缩略封面图,首页缩略文段,发布者,文章正文内容,图片链接
近期高发!警惕冒充电商物流客服骗局!视频↘,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7299777407798886952%2F%3Fchannel%3D%26source%3Dnews&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e72359afe0d872efe212ac602eb764e06f0540649f873f4151bd01e4043c2502adcf5e2071434f9c1b9585ed09ea899847,,"深入揭批电信网络诈骗套路手法,进一步增强知诈、识诈、防诈、反诈意识,筑牢反诈“防火墙”。 冒充电商物流客服类诈骗是指诈骗分子冒充电商平台或物流...",平安哈尔滨,"为全面提升群众防范电信网络诈骗能力和水平，增强安全防范意识，哈尔滨市委政法委认真梳理归纳出目前高发频发的11种类型案例，设计制作了反电信网络诈骗系列微动漫，通过喜闻乐见、通俗易通的方式，深入揭批电信网络诈骗套路手法，进一步增强知诈、识诈、防诈、反诈意识，筑牢反诈“防火墙”。
    
    
    
    
      
       
       
      
    
      
    
    
    
    
      
  
重播
    
    
      
      
    
    
    暂停
    
    00:00
    /
    00:00
    直播
    
      
    
      
        
      
      
        
          
        
        
      
      00:00
      
    
    
    
      
      
    
    
    进入全屏
    
    
      
      
      
        50
        
          
        
      
    
    
    
    
   
    
    
    
   
    
    
      
      
      点击按住可拖动视频
      
      
        
          
        
      
      
      
      冒充电商物流客服类诈骗是指诈骗分子冒充电商平台或物流快递企业客服，谎称受害人网购的商品出现质量问题或售卖的商品因违规被下架，以“理赔退款”或“重新激活店铺需要缴费”为由实施诈骗。来源：哈尔滨政法",
假客服，真诈骗!受害人现身说法!,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7238795749822497314%2F%3Fchannel%3D%26source%3Dnews&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e74508ee9b4eb6a5084ed9dc283286f4be3ffe23d487d85ef71ca17afe4beeb23d1ec861577f628e76e30802e241d0022f,http://p1-tt.byteimg.com/img/tos-cn-i-qvj2lq49k0/2dfd5d4e95fb4d15b1ad6099315793c8~tplv-26tn0yjwph-cspd-v1:276:184.jpeg,"1、诈骗分子往往通过不法渠道获取到公民个人信息,再利用192”+、00”开头的境外号码、“区号+座机号码"" 等固定电话或手机冒充平台客服,准确报出受害...",潍坊网警,"假客服，真诈骗！受害人现身说法！

“您好，我是京东客服”

“不关闭京东金条，会影响征信”

“不知道如何关闭？”

“没关系，我来教您......”

以案说诈

3月15日14时许，受害人林先生在家中接到一通自称是“京东客服”的陌生来电，对方称林先生开通的京东金条，由于利率过高，根据国家政策规定需要关闭，否则会影响到个人征信。因为害怕自己的征信出现问题，林先生一时放松了警惕，按照对方的要求操作，关闭京东金条。之后，对方又称林先生名下还有微信“微粒贷”需要关闭，让其将微粒贷额度全部提现至个人银行账户。为方便操作，让林先生 下载""云视通""APP加入视频会议进行远程指导。林先生按照对方的要求打开了屏幕共享功能，在对方的指导下进行了操作。在对方的诱导下，林先生将20万元转到了对方提供的账户。

在家人的提醒下，林先生才发现自己上当受骗，遂拨打110报警求助。民警接到报警后，迅速启动止付程序，为林先生挽回了15.2万元。目前，案件正在进一步办理中。




现身说法

诈骗手段层出不穷，迷惑性极强，小编为大家整理了此类诈骗案件套路。请大家一定要提高警愓，提升反诈骗意识，不要轻信陌生人。

1、诈骗分子往往通过不法渠道获取到公民个人信息，再利用192”+、00”开头的境外号码、“区号+座机号码""等固定电话或手机冒充平台客服，准确报出受害人的个人信息骗取信任。

2、告知受害人不注销京东金条，会影响个人征信或以利率高于国家规定等理由，诱导受害人按照他们设定好的套路进行操作。

3、诈骗分子首先会让受害人下载一些能屏幕共享的视频会议 APP，如云视讯、飞书等，远程指导并观看受害人的操作，引导受害人到借贷平台进行贷款。

4、诱导受害人将借贷app中的额度全部提出，以""中间账户”“降低利息”“注销要求”为借口，让其将款项转到指定银行账户，从而实施诈骗。

警方提示

1、核实身份官网认证。银监会、京东客服电话不会主动外呼，外呼客服号码为固定短号。如接到自称银监会、京东客服的电话，请提高警惕，切勿轻易转账，如有疑问请直接拨打96110咨询。

2、 拒不透露个人信息。身份信息、银行账户、验证码、各类密码要小心保管，绝不透露。

3、不加好友、不开视频。如对方要求添加私人社交账号或各类视频会议软件进行屏幕共享等协助操作，一定要果断拒绝！

4、绝不转账、借贷。如对方要求操作转账或者进行借贷，统统不要理会！

5、谈及征信切勿慌张。﻿个人征信由中国人民银行统一管理，任何人无权删除或修改，如对个人征信存疑可登录中国人民银行征信中心查询。",https://p3-sign.toutiaoimg.com/tos-cn-i-qvj2lq49k0/466ac82615b4464caa1ec99fe0d68b56~noop.image?_iz=58558&from=article.pc_detail&lk3s=953192f4&x-expires=1700292961&x-signature=M2PI38MdkV7InoEcLCrgXSzvpk4%3D
被骗100余万!又是假冒客服诈骗，16人落网,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7174689621828338187%2F%3Fchannel%3D%26source%3Dnews&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e769ee7b00ef47a77adf6e79456e272ac97ddf7bc0964034a982ffdf82f6de5dd398959d7d053b1f5b2efc1e7a6034c751,https://p3-sign.toutiaoimg.com/tos-cn-i-tjoges91tu/TPPXPRR4bvh5If~tplv-26tn0yjwph-cspd-v1:450:294.jpg?_iz=102390&from=search&x-expires=1708387200&x-signature=OtkMfh7OGkU2r4Hw525xmfnpCnI%3D,"电信诈骗案案件回顾近日,牡丹分局北城派出所接到辖区居民陈某报警,称其遭遇冒充客服诈骗,被骗100余万元。接警后,牡丹警方迅速组织抽调精干力量,第一...",环球网,"来源：菏泽公安

“双11”刚刚过去

“双12”又紧跟着要来了

网购过后的你

最想见到的人是谁？

是不是更想看到快递小哥

最怕快递没等到

却等来了“客服电话”

要求退款理赔的来电……

冒充电商客服是诈骗中的老套路

这类诈骗尽管并不高明

但是

骗子却屡屡得手...

近日

菏泽市公安局牡丹分局北城派出所

联合刑侦反诈中队

破获一起电信诈骗案

案件回顾

近日，牡丹分局北城派出所接到辖区居民陈某报警，称其遭遇冒充客服诈骗，被骗100余万元。

接警后，牡丹警方迅速组织抽调精干力量，第一时间展开调查，立即梳理资金流向，开展紧急止付冻结。

经大量信息研判，锁定犯罪嫌疑人10余人。办案人员辗转北京、河北、深圳、潮州、重庆、云南多地开展侦查工作。

经过数日奋战，共抓获犯罪嫌疑人16名，查缴涉案银行卡600余张，查获涉案资金80余万元。

目前，案件正在进一步侦办中。

民警提示

✔接到关于退款的电话，一定要先向购买的店铺商家核实情况；

✔不要随便点击陌生人发来的链接，也不要随便扫描陌生人提供的二维码；

✔退款并不需要你向其他平台借款，所以遇到这种情况直接挂断电话；

✔银行卡密码、验证码是资金安全的最后一道防线，不要告诉他人！",https://p3-sign.toutiaoimg.com/tos-cn-i-tjoges91tu/TPPXPRR4bvh5If~noop.image?_iz=58558&from=article.pc_detail&lk3s=953192f4&x-expires=1700292963&x-signature=nVat0rKjUjX2I%2BHgH3lpgeIfyEg%3D
警惕!冒充客服类诈骗,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7294446746347405851%2F%3Fchannel%3D%26source%3Dnews&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e728630b44f12eec065e23ff29d176f07154bb01735bab7fc5b6bf27c68c1d302fb4eb6b9dc2e27f2c826cf44aac4b9608,https://p3-sign.toutiaoimg.com/tos-cn-i-6w9my0ksvp/f608d63b53b448178f54387b63505ccd~tplv-26tn0yjwph-cspd-v1:450:294.jpg?_iz=102390&from=search&x-expires=1708387200&x-signature=gnhVJFAsEE1i9f5Ojufk%2FhA%2FvfE%3D,"冒充客服诈骗主要分为以下几类 01 网购商品出现问题或免费赠送小家电 一是冒充淘宝、京东、抖音、快手、拼多多等平台或者物流快递客服,谎称被害人网...",平安石柱,"网络购物的快速发展

让人们享受到了其带来的便利

也产生了一大批网购达人

当你在网购平台疯狂买买买

然后开心等待收货时却等来了

能准确说出你姓名和商品名称

还有订单号等信息的“客服电话”

你会相信她吗？

小心""客服“来电

冒充客服诈骗主要分为以下几类




01

网购商品出现问题或免费赠送小家电

一是冒充淘宝、京东、抖音、快手、拼多多等平台或者物流快递客服，谎称被害人网购商品出现问题或免费送礼品等为由，对受害人实施诈骗。

02

取消会员、百万保障业务

二是谎称将受害人升级为VIP会员、授权为代理或已办理商品分期等业务，以如不取消上述业务将产生额外扣费为由，诱导被害人支付手续费实施诈骗。

03

取消京东、微粒贷贷款账户

三是冒充京东金融、微粒贷平台客服，以为被害人取消贷款账户否则影响征信为由，并引导被害人将贷款汇入指定账户实施诈骗。




/ / / 真实案例

巴南区居民小文接到“京东客服人员”电话，对方称他的京东白条借款服务需要关闭，不解除会产生利息扣费还影响个人征信。

小文信以为真，在对方指示下进行贷款并转账到对方指定银行账户，“客服”谎称贷款并不是真的贷了款，而是为了完成其中的贷款步骤，还贷完成后就可以解除他的借款账户。小文操作转账后发现被骗30万元。




/ / 案例分析 / /

诈骗分子事先非法窃取受害人个人信息，冒充淘宝、京东等网站客服或物流客服，通过电话主动联系被害人称其贷款账户有问题、快递丢失、产品质量问题等情况，要求受害人点击陌生网站链接，操作转账实施诈骗。

1.接到自称“店铺客服”“快递客服”“卖家”等电话，请提高警惕，不要点开对方发来的“退款链接”，凡是退款要验证码的都是诈骗！

2.要求添加私人社交账号或者下载各类视频会议软件进行共享视频的，一定要果断拒绝！

3.如对方要求操作转账或者进行借贷，统统不要理会！一定是诈骗！

如果你接到陌生电话

如果你被拉入陌生群聊

如果主动来电帮你退款理赔

如果你正在使用未使用过的聊天软件

如果自称领导加你微信

让你帮忙转账

如果你开始给不同的陌生人银行帐户转账

如果你添加了陌生网友和你谈感情聊投资

如果你点击了陌生链接

下载了不熟悉的APP

如果你遇到有高额回报

稳赚不赔的网络投资

那么你可能已经在被骗的路上

赶紧停下，及时报警

切记

未知链接不点击

陌生来电不轻信

个人信息不泄漏

转账汇款先核实!

记得赶快下载

国家反诈中心

它可以拦截诈骗电话

识别诈骗软件

辨别诈骗信息

保护你的财产安全

朋友们快去下载使用吧",https://p3-sign.toutiaoimg.com/tos-cn-i-axegupay5k/1bea3f0683dc4555a33b2c3a14d0db56~noop.image?_iz=58558&from=article.pc_detail&lk3s=953192f4&x-expires=1700292966&x-signature=M0ZJ6%2BouzLoPAtjHohck3Qmb4ow%3D
又出新花招!!“平台客服”骗局它来了,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7181816064416842255%2F%3Fchannel%3D%26source%3Dnews&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e710649ac700d115ee7599fe1e39fffb90a0f7da32e32c2aaad06eeff3c719299bec1032dcce99bcba04ebb23813c75724,https://p3-sign.toutiaoimg.com/tos-cn-i-tjoges91tu/TRDpmPtIcQlfFT~tplv-26tn0yjwph-cspd-v1:450:294.jpg?_iz=102390&from=search&x-expires=1708387200&x-signature=%2F%2FMOjZeWzkAFIt2GX%2BJ9hSpcKD4%3D,"接下来给大家分析一下冒充客服诈骗的手法第一步:事主接到电话(固话、手机号码),嫌疑人自称“平台客服”,以受害者在“平台白条”或者“平台金条”有过...",广州公安,,
【我在山东守护你】“冒充客服诈骗”再升级，利津有人被骗3万余元!,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7209660669870981672%2F%3Fchannel%3D%26source%3Dnews&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7cde3db151ca786d109bd214418ec04184c2d162a68eaba81e13b92b8e2cd964777c49f462b03cbdcee7d24f249f56f47,http://p9-tt.byteimg.com/img/tos-cn-i-qvj2lq49k0/5b94742f9c2c4617b3ee0a57dcec7b5e~tplv-26tn0yjwph-cspd-v1:276:184.jpeg,"对方自称是某电商平台客服,因其购买的商品在物流过程中不慎丢失,将向小聪...一步一步落入诈骗陷阱,将个人银行卡里的1.4万元通过数字钱包转到指定账户...",山东公安,"来源：东营利津公安

3月10日，利津一女子小聪（化名）接到“+347500”的境外号码来电，对方自称是某电商平台客服，因其购买的商品在物流过程中不慎丢失，将向小聪支付三倍的赔款。由于对方准确说出了快递单号以及购买的产品信息，小聪对其深信不疑。对方让小聪提供个人银行卡号，称公司规定必须把赔付资金打到银行卡上。随后小聪按照对方要求添加了一个称为“xx客服”的微信，并将银行卡号发给对方。

对方称因小聪信用良好，再赠送她一个百万医疗,第一年免费,但需要小聪先交付100元激活保险账户，同时需要提供个人身份证号。刚开始小聪不相信，为打消小聪的戒备心，对方将自己的身份证照片和客服号照片发给了小聪。小聪信以为真，便将身份证号发给对方，并按照对方要求下载了“数字人民币”APP。

对方又以帮小聪将百万医疗变现为由，要求小聪将个人银行卡绑定在 “数字人民币”软件上。之后,小聪就在骗子的“花言巧语”下，一步一步落入诈骗陷阱，将个人银行卡里的1.4万元通过数字钱包转到指定账户。在对方的利诱下，小聪在微粒贷上贷款两笔，贷款所得1.6万元也转入指定账户。在小聪不知情的情况下，对方又以小聪的名义贷款1600元。后来，对方又让小聪办借记卡，小聪这才意识到被骗。

然而，在小聪转账操作过程中，“国家反诈中心”APP不断地对小聪进行预警并发送多条提示短信。但由于太过“投入”，小聪并没有理会“国家反诈中心”APP的预警提示，给了骗子可乘之机。事后小聪悔恨不已，她说如果当时多看一眼，自己就不会上当受骗。

诈骗套路千千万

防诈招式万万千

见多识广才能少受骗

今天我们就来了解一下小聪踩的坑

看完可别再掉坑里啦

01

小聪接听以“+”开头的境外号码来电

如果你收到“00”或“+”开头的陌生来电和短信，一定要提高警惕，这些大多是境外的诈骗电话，千万不要相信。

建议大家如果没有接收境外来电的需求，可以按照以下的操作流程，主动关闭该功能，以降低被骗风险，守好自己的“钱袋子”！

中国移动用户

如何关闭境外来电

拨打10086进行咨询办理，或关注“中国移动高频骚扰防护”微信公众号—业务设置—骚扰拦截设置—开启防护—国际及港澳台来话—开启。

中国联通用户

如何关闭境外来电

拨打10010进行咨询办理，或关注“中国联通微厅”——“智慧沃服务”微信公众号——手机管家——号段拦截——“国际电话”智能拦截设置——开启。

中国电信用户

如何关闭境外来电

拨打10000进行咨询办理，或关注“天翼防骚扰”微信公众号——个人中心——我的专属服务——智能拦截设置——国际长途电话——开启。

02小聪轻信了对方高额赔付的说辞

如遇到来电自称某平台客服人员，要第一时间通过官方平台进行确认，不要轻易相信不明来电的说辞；如需办理退款理赔，要在正规电商平台，按规范操作，切莫脱离平台私下进行操作，不要被多倍理赔诱惑，盲目轻信，因小失大。

03小聪向陌生人提供身份证号码和银行卡号，并下载不明APP

要保护好个人身份信息和账户信息，在非必要情况下不向陌生人提供身份证号码、家庭住址等重要信息；不要轻易扫描陌生人发送的二维码，或点击对方发来的链接，不要随意在的网站上输入个人信息及银行卡信息、密码等；如果遇上“客服”索要手机验证码的情况，更要高度警惕，验证码是资金的最后一道防线，切勿提供。

04小聪多次收到“国家反诈中心”APP预警信息却视而不见

“国家反诈中心”APP由公安部刑事侦查局组织开发，是一款能有效预防诈骗、快速举报诈骗内容的软件，集报案助手、线索举报、诈骗预警提示、反诈宣传等多种功能于一体，可以帮助用户预警诈骗信息、快速举报诈骗内容、高效提取电子证据、了解防骗技巧，切实提升用户的识骗防骗能力。如果收到“国家反诈中心”APP的预警，一定要提高警惕，不听电话、不信谎言、不点链接、不转资金。

“三不一多”原则

电信网络诈骗手法千变万化，但万变不离其宗，记住“三不一多”原则：

未知链接不点击

陌生来电不轻信

个人信息不透露

转账汇款多核实",https://p3-sign.toutiaoimg.com/tos-cn-i-qvj2lq49k0/c8ec5dc91b39414f9505515f2dddcebe~noop.image?_iz=58558&from=article.pc_detail&lk3s=953192f4&x-expires=1700292971&x-signature=%2BX%2Fm9uLOQuDJLvr5zdnGMRN9rSE%3D
冒充客服实施诈骗!这类骗局需警惕,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7219973182990582311%2F%3Fchannel%3D%26source%3Dnews&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7dd97d26bfdb4d8d20c1573f467db070057bee414f02517f1a185d0f6423f1756b02cb6a6424cedb40b1306770c9d0e06,,"最近,揭阳市接到3起冒充客服的诈骗案例,案例具体如下: 案例一 2023年3月27日,普宁大南山街道的蔡某在“千牛”平台收到陌生账号发送的信息。 对方以蔡...",南方+客户端,"最近，揭阳市接到3起冒充客服的诈骗案例，案例具体如下：

案例一

2023年3月27日，普宁大南山街道的蔡某在“千牛”平台收到陌生账号发送的信息。对方以蔡某经营的网店流水达到上限，需要解除限额为由，诱导蔡某点击进入一虚假的“淘宝客服中心”网页。并在该页面弹出的“流水认证”的窗口进行手机银行转账5200元“提额费”，后对方称蔡某花呗额度过高，还需继续转账2万元“提额费”才可以解除流水限制。蔡某这才意识到被骗，共计被骗5200元。

案例二

2023年3月25日，揭东新亨镇的熊某在淘宝旗下的“千牛”平台收到陌生消息。对方称熊某的淘宝店铺因没有通过验证现已主动关闭客户交易，并发送一链接让熊某申请开通。熊某点击该链接后，跳转至一显示“淘宝网在线客服”的页面。熊某添加页面中的QQ账号并与对方进行语音通话，对方告知熊某其淘宝网店退单时存在问题，若不及时处理将无法正常交易。后熊某按照对方要求，向对方指定的银行账号转账1万元“手续费”。转账后对方要求熊某继续转账，熊某才意识到被骗。

案例三

2023年3月21日，普宁下架山镇的陈某收到一条淘宝顾客的购买咨询信息：交易出现问题无法购买，并附带一条链接。陈某打开该链接跳转到一聊天页面，该页面显示一QQ号码（昵称：语音淘审员），对方让陈某添加该QQ账号以解决交易异常问题。添加后，对方自称是淘宝官方客服并要求视频聊天进行沟通。对方以陈某的淘宝账号的银行流水额度不够导致交易异常需申请解除银行流水限制为由，诱导其转账2万元“提额费”到指定的银行账户。转账后，仍要求继续转账，陈某才意识被骗，共计损失2万元。

诈骗套路解析

1.诈骗分子在淘宝上冒充顾客，搜索受害人的淘宝店铺以“交易出现异常”“无法付款”等理由联系店家。

2.诈骗分子的聊天消息中会发送伪造的“官方提醒”截图或文件，受害人店家接收后，诈骗分子会引导对方通过扫描截图或文件附带的二维码、点击指定的虚假网页链接解决问题。该类网页为诈骗分子虚假搭设，所谓的“淘宝客服”也是假冒的。

3.诈骗分子伪装的“官方客服”利用虚假搭设的网页“以假乱真”唬住受害人店家，将“无法交易”“付款失败”的原因归咎于店家“账号流水额度不足”“未开通、未激活账号”，并让其添加指定的“客服专员”QQ账号解决问题。

4.诈骗分子最终目的是诱骗店家转账，通常以“提额费”“保证金”“解冻金”“刷流水”为由。待受害人店家转账后又以额度不足再次要求转账，榨干受害人资金后便将其拉黑失去联系。

揭阳市反诈骗中心温馨提醒

1.商家与买家沟通时，一定要通过网购平台，不要通过其他平台进行交流，不要加买家的QQ！不明链接不要点！这都是诈骗！

2.陌生链接所呈现的网页虽看似正规，其实是诈骗分子虚假搭设的“官方平台”，与商家交流的“在线客服”也是诈骗分子批皮伪装！

3.如商家遇到关于网店运营、流程等问题，请通过官方客服进行咨询核实；如不幸被骗，请保存聊天记录和转账记录，及时到就近的派出所报案或拨打110求助。

【撰文】唐楚 生陈憧炜

【通讯员】揭公宣

【作者】 唐楚生

【来源】 南方报业传媒集团南方+客户端",
防骗指南丨冒充客服诈骗，请您提高警惕,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7207622667522851386%2F%3Fchannel%3D%26source%3Dnews&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e793a095a33d1dbb409177e783cded04423d0084613d1ba892bdff38d772b4d8e892e586800136779e39dd9907960bc2cb,http://p3-tt.byteimg.com/img/tos-cn-i-qvj2lq49k0/5bdc6d387062445b8c44cf026eaa34c6~tplv-26tn0yjwph-cspd-v1:276:184.jpeg,"冒充客服类诈骗高发,并衍生出诸多诈骗手法。其中,诈骗团伙常冒充金融平台客服,告知事主不抓紧时间还款或注销账户将会影响个人征信,并诱导事主下载Ap...",锦州网警,冒充客服类诈骗高发，并衍生出诸多诈骗手法。其中，诈骗团伙常冒充金融平台客服，告知事主不抓紧时间还款或注销账户将会影响个人征信，并诱导事主下载App、借钱还贷、转账进诈骗账户等，是利用人们重视个人征信的心理特点而设计的诈骗圈套。,https://p3-sign.toutiaoimg.com/tos-cn-i-qvj2lq49k0/65fb5e3b06f44d2bb919c5ab8fa2f72a~noop.image?_iz=58558&from=article.pc_detail&lk3s=953192f4&x-expires=1700292975&x-signature=%2FXntp%2BAOOLVGGncoqJjUuMQ6SH8%3D
公安提醒您:冒充客服、虚假交易、网络交友就是诈骗!,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7235420216338039352%2F%3Fchannel%3D%26source%3Dnews&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7526876b740438cacb3b9ae8b9fe5c22e5ea680a049d0b083ca933de61e6573436193377d9a938b7aa292b3eb692cf80b,,"冒充客服诈骗 5月17日,我市七里河区居民谢某报警称:其接到自称某平台客服的电话,称由于工作人员的误操作,帮其申请了VIP会员,每月都需要缴纳500元的...",光明网,"5月20日，市公安局反诈中心发布一周典型电诈案件预警，提醒广大市民防范网络游戏虚假交易、网络交友等类诈骗。网络交友需谨慎，凡是网恋对象以“知道内幕消息、系统漏洞”为由，诱导投资或赌博的就是诈骗！一旦发现上当受骗请及时拨打110或96110咨询报警！

冒充客服诈骗

5月17日，我市七里河区居民谢某报警称：其接到自称某平台客服的电话，称由于工作人员的误操作，帮其申请了VIP会员，每月都需要缴纳500元的服务费，如不及时取消，其绑定的银行卡将于当晚12点完成扣款。其要求取消该业务，对方称因系统数据整合，需要提供个人基本信息进行身份验证。其信以为真，便向对方提供身份证、银行卡、验证码等个人信息后，其卡内的1.6万元被转走，遂报警。

兰州反诈中心提示：接到自称各类电商平台或金融平台客服电话，一定不要轻信，更不要随意转账，务必拨打官方客服电话核实确认，验证码是保护资金的最后一道防线，切勿向他人提供。

网络游戏虚假交易诈骗

5月16日，我市城关区居民蒋某报警称：其在某游戏平台玩游戏时，一陌生人添加其QQ，并向其发来了一个二维码，称只要扫码认证就可以获得某游戏皮肤。其扫码后，手机跳转到了一个支付页面，对方称这是个人认证的必备操作，只是虚拟转账不会真的付款，其信以为真便输入了支付密码。直到页面提示转账4500元时，其察觉到不对劲，向对方询问，却发现对方已将其QQ拉黑，遂报警。

兰州反诈中心提示：账户充值、购买游戏装备、买卖游戏账号等一定要通过正规平台进行交易，不要轻信任何网络上“低价充值”和“高价收购”的广告，切勿私下交易。

网络交友类诈骗

5月15日，城关区居民柳某报警称：其在某婚恋网站认识一男子，对方自称是某证券公司经理，在对方甜蜜攻势下两人很快确立了恋爱关系。一天，对方称正在外面忙，想让其帮忙登录他的博彩账号，并指导其进行押注操作，几次操作后，对方就盈利几万元。柳某有点心动，便请求对方带其投资，在对方指导下注册账户并开始充值投资，先期有盈利且能成功提现。后对方以频繁提现会导致账户被冻结为由，要求其加大投资金额，等盈利后和本金一次提取出来。其信以为真便多次充值，共计转账16万余元。后发现无法提现，与对方也失去联系，遂报警。

兰州反诈中心提示：网络交友需谨慎，凡是网恋对象以“知道内幕消息、系统漏洞”为由，诱导投资或赌博的就是诈骗！

兰州日报社全媒体记者 伊晓明

实习生 刘煜

来源： 兰州日报",
【八五普法进行时】当心假客服真诈骗!,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7289072993039352320%2F%3Fchannel%3D%26source%3Dnews&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7987e451077640bca9b5f250809488e1b74b45f8c1431c859118a4ed21117a5c879ac5be9319594f1b61a44549b06c152,https://p3-sign.toutiaoimg.com/tos-cn-i-6w9my0ksvp/cd2404fe82384a9d9119599ff6e1705d~tplv-26tn0yjwph-cspd-v1:450:294.jpg?_iz=102390&from=search&x-expires=1708387200&x-signature=gTNTvQqTXvEKucPV4lxmtpn9f2Y%3D,"冒充客服类的诈骗行为是电信网络诈骗中的老套路,此类诈骗手段虽并不高明,但骗子却能屡屡得手,究其原因是抓住了受害者贪小便宜的心理。近日,会宁县检...",甘肃省人民检察院,"冒充客服类的诈骗行为是电信网络诈骗中的老套路，此类诈骗手段虽并不高明，但骗子却能屡屡得手，究其原因是抓住了受害者贪小便宜的心理。近日，会宁县检察院就起诉了这样一起电信网络诈骗案，法院经审理，5名被告均受到相应法律制裁，其中4人因犯帮助信息网络犯罪活动罪分别被判处有期徒刑一年至一年八个月不等，各并处罚金5千元至1万元不等；另1人因诈骗罪被判处有期徒刑三年，并处罚金1万元。

“2020年12月1日，我接到一个自称淘宝理赔人员的电话，说我在淘宝购买的商品存在质量问题，要对我进行双倍理赔，我信以为真。之后，对方以在支付宝做流水为由，多次诱导我为其提供的五个银行卡转账共计109253元。当我再打过去电话却不通时，我才意识到被骗，立马报了警。”马女士向办案检察官说道。

据悉，2020年11月下旬，郭某与上游电信诈骗团伙（在境外）预谋共同实施电信诈骗，发展马某为同伙，为马某在外省租房，提供“网关”设备一套及其配套设施、手机、电脑、电话卡等，还为其传授“赚钱”方法。后又发展王某福加入，王某福用自己的身份信息实名办理了五张手机卡用于电信诈骗，12月1日，骗取被害人马女士人民币109253元。由于“网关”设备所需电话卡告罄，12月8日，在郭某的联系下，田某与王某波为诈骗团伙共提供电话卡58张，两日后，马某、黄某在宾馆中再次操作设备时被当场抓获。

办案中，检察机关主动提前介入，与公安机关沟通协调，围绕犯罪嫌疑人的主观认知程度及案件定性、诈骗金额等问题进行侦查取证，深挖细查案件线索，完善案件证据链条。

“在审查起诉阶段，我们通过自行补充侦查，从各犯罪嫌疑人之间的意思联络、涉案车辆、通讯设备的提供、房屋的租赁、手机卡的使用等入手，全面审查案情，全面认定各行为人的主观故意、参与实施诈骗犯罪的层级及程度，从而形成闭环的证据链条，准确定性。”办案检察官介绍。

鉴于案件时间跨度较大、犯罪嫌疑人无法同时到案等因素，该院围绕犯罪嫌疑人的主观明知度、共犯认定难等问题，召开部门联席会、检察官联席会分析研判，准确界定打击范围、分析诈骗行为本质、综合认定犯罪数额、认定共犯责任以及区分诈骗团伙中各犯罪分子的分工作用，对各犯罪嫌疑人作出精准量刑建议，既严厉打击组织开展诈骗活动的指挥者，又依法惩治具体实施诈骗行为的操作者及明知他人实施电信网络犯罪仍为其提供服务的帮助者，做到不枉不纵、罚当其罪。

会宁县检察院遂陆续对5人提起公诉，法院经审理，采纳了检察机关的量刑建议，作出如上判决；还判令被告人退赔被害人马女士人民币109253元。目前，正在执行中。

检察官提醒：面对层出不穷的诈骗手段，广大群众不要盲目轻信，克服“贪图小利”思想，提高防范意识，多做调查印证，谨防上当。

来源：会宁县检察院",https://p3-sign.toutiaoimg.com/tos-cn-i-6w9my0ksvp/35817fc2b62b40e3a9e10cbb525829ef~noop.image?_iz=58558&from=article.pc_detail&lk3s=953192f4&x-expires=1700292979&x-signature=INJiBuaRGS1dkHCczFDf8DUdFwo%3D
