标题,标题链接,首页缩略封面图,首页缩略文段,发布者,文章正文内容,图片链接
小心网络贷款诈骗，一个永远无法“提现”的骗局!,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7299737993215033871%2F%3Fchannel%3D%26source%3Dnews&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7a0f37c141619d5c4874ad792a6daf3e43d4691c65cc38f0e7534ddf68a1ae57fe8d217242e0eaa24b988365cb9fc7bc0,https://p3-sign.toutiaoimg.com/tos-cn-i-6w9my0ksvp/24c8a4be6d5549cc9806c3bcacd7b9bd~tplv-26tn0yjwph-cspd-v1:450:294.jpg?_iz=102390&from=search&x-expires=1708387200&x-signature=p7TCpqfPXrTe6NBfk77PunY6me8%3D,"最近,安溪湖头镇的李先生在缺钱的情况下病急乱投医就落入了骗子精心编织的贷款陷阱里事件回顾原来,在10月5日这天,李先生手机上突然收到一条“还呗”...",泉州网警,"十万额度！

如果你缺钱、急需用钱

这样的额度对你

是不是有很大的吸引力呢？

最近，安溪湖头镇的李先生

在缺钱的情况下病急乱投医

就落入了骗子精心编织的贷款陷阱里




事件回顾




原来，在10月5日这天，李先生手机上突然收到一条“还呗”发来的短信，内容显示因为其信用良好，最高可申请13万的贷款。于是他便点击短信上的链接，一看自己能贷款的额度竟然有十万元！激动的李先生便想把这笔钱转到自己的银行账户上。

可是这十万元，一直无法提现，着急的李先生便与客服联系，客服让他下载“安聊”APP，并在上面进行操作。殊不知，李先生的噩梦开始了。一开始，客服告知李先生，因为其银行卡号输入错误，导致贷款资金被冻结了，无法提现。客服表示其需要支付5万元的解冻金，在解冻完成后这5万会原路退还，而且10万元贷款也能顺利发放。

▲骗子以各种理由不让李先生提现

▲李先生分几笔向对方转账“解冻金”

信以为真的李先生为了尽快拿到“贷款”，便向亲戚朋友借来了5万元转到了对方提供的银行账户。支付解冻金之后，没想到客服又告诉李先生，因为转账超时，资金仍然被冻结，如果要拿到钱，需要再转一笔解冻金，并且会和之前充值的解冻金一起返还。就这样，李先生又转了5万元给对方。次日，李先生欲提现时，客服又和他说需要再转10万元才能提现。此时此刻，李先生终于恍然大悟，自己这是遭遇了贷款诈骗，于是立马到湖头派出所报警求助。




贷款类诈骗手法

不法分子一般会以无需抵押，仅需一张身份证就可快速放贷、低息甚至免息等噱头吸引他人，在你点击骗子发来的陌生链接，下载了来路不明的软件，开始办理贷款后，骗子就会以要先给保证金或者利息、需要提交解冻资金、要查流水验证还款能力等借口要求你转账，这些都是不法分子的诈骗手段，不要轻易相信！如果需要贷款，请一定到银行等正规机构办理。




安溪公安在此提醒您：




时刻绷紧反诈之弦

防范电信网络诈骗

一定要记住

未知链接不点击

陌生来电不轻信

个人信息不透露

转账汇款多核实

提高警惕，谨防被骗！

来源：平安泉州",https://p3-sign.toutiaoimg.com/tos-cn-i-axegupay5k/e6d7fb84fe39411e96471fcfb7739779~noop.image?_iz=58558&from=article.pc_detail&lk3s=953192f4&x-expires=1700277082&x-signature=hNyrbx%2BCecB6KRn4dsXnFahTBec%3D
贷款不成反被骗!警惕虚假网络贷款类电信诈骗,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7288604973800374847%2F%3Fchannel%3D%26source%3Dnews&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7905400ab02da223f651b1b4f7956a1729fdd40666d2fe1f162892d59b02b9fd2954747d90194ddb4f3570d2eb4f5bda1,https://p3-sign.toutiaoimg.com/tos-cn-i-6w9my0ksvp/4472ad7898184362a2c4d874c2136780~tplv-26tn0yjwph-cspd-v1:450:294.jpg?_iz=102390&from=search&x-expires=1708387200&x-signature=3CVe3yng32WIU9zPIWOnpK9tdKA%3D,"不论是银行贷款还是网络贷款,正常都不会贷前乱收费,而冒充正规贷款公司的诈骗分子常常会以保证金、手续费、银行流水验资等各种理由要求把钱转到指定...",石家庄网警,"当你看到可轻松申请

大额贷款的广告、短信时

一定要提高警惕

切勿掉入“虚假网贷”的陷阱之中

典型案例

陌生短信

元氏县辖区李先生无意间打开一条短信，称自己信用良好，可以申请高额贷款，且手续简单，利息低。

申请贷款

碰巧李先生商铺资金周转紧张，没多想就点开了网址，对方首先要求其下载了一个名为“信用飞”的APP，在APP操作贷款，很快8万元的贷款便申请成功。

账户冻结

但是到了打款环节，APP显示由于银行卡号输入错误贷款额度被冻结。眼看贷款就要到账，李先生着急了，赶忙咨询在线客服。

诱导转账

客服提出解决方案，需要李先生将申请额度一半的资金转到指定账户才能解冻，李先生信以为真，将40000元转到对方账户。

察觉被骗

转账后客服称贷款额度被二次冻结，需要再向对方转账40000元，李先生慌了神，为了追回已经转过去的资金，李先生又按照要求转了钱，之后对方仍以同样的理由要求转账，李先生这才发觉自己被骗。

骗局解析




诈骗分子为吸引受骗对象，常常把贷款的条件压得很低，无抵押，无担保，无需身份证，低息或无息等无门槛条件即可快速放款，仅这一点就要反问自己，怎么会有这么好的事？

不论是银行贷款还是网络贷款，正常都不会贷前乱收费，而冒充正规贷款公司的诈骗分子常常会以保证金、手续费、银行流水验资等各种理由要求把钱转到指定账户。

来源：元氏县公安局",https://p3-sign.toutiaoimg.com/tos-cn-i-6w9my0ksvp/e4ef7619bbde474288a5471982fcfe84~noop.image?_iz=58558&from=article.pc_detail&lk3s=953192f4&x-expires=1700277086&x-signature=2R%2BO5YhjTBSNuZCSFRePLbCKO%2Bk%3D
网络贷款诈骗套路大全，警惕无孔不入的诈骗陷阱,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7275608204359254563%2F%3Fchannel%3D%26source%3Dnews&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7de12961c86d5f22f6bd3a5ed5d6bc8edf0385f4a464d69822321092e26b5358e4240bfd3cff421f6b8a6db41a3519b88,,"网络贷款诈骗是指骗子以低门槛发放贷款的名义,如“无抵押”“无担保”“秒到账”“不查征信”等,吸引受害人下载虚假贷款APP或者登录虚假网站,再以“...",湖北网警,"网络贷款诈骗是指骗子以低门槛发放贷款的名义，如“无抵押”“无担保”“秒到账”“不查征信”等，吸引受害人下载虚假贷款APP或者登录虚假网站，再以“激活费”“保证金”“验证费”等名义连番轰炸，收取费用。

一旦受害人转账汇款，骗子就拉黑跑路，受害人不仅一分钱都没有贷到，存款也没了。

真实案例

4月7日，邵某接到一个陌生电话表示自己是做贷款的，并且贷款平台利息低、下款快，询问其是否需要贷款，邵某最近刚好缺钱就表示需要，然后对方就报了个QQ群号让其加。

进入群聊后邵某就把自己的姓名和电话号码还有需要贷款的金额发给对方，对方就给其发了个软件分享，让其在软件里面办理贷款。

邵某申请成功后发现无法提现，联系客服称由于邵某把自己的银行卡号填错了一位，导致账户被冻结，需要转账解冻，邵某转账3万元后对方还要求继续转账，这才意识到被骗。

这类“网贷”，不法分子从一开始就没打算真的把钱贷给你，目的就是让你上钩，于是打着“无利息”、“高额度”等低门槛贷款条件来进行诱惑。

为了使整个贷款流程看着正规，符合常理，不法分子也会通过制作APP、钓鱼网站等来走流程，目的依旧是为了让受害人信服，心甘情愿地在他们的指导下进行操作。

不法分子在假贷款平台上伪造出受害人成功申请到多少贷款额度的界面后，受害人迟迟收不到贷款，反倒被不法分子以交纳“手续费”、“保证金”等各类费用为由进行诈骗。

各类贷款套路汇总

1.只要身份证就可以贷款。

现在很多的小额贷款机构在宣传的时候都说只要身份证就可以贷款，但是真的只需要身份证吗？换个位置思考，如果你是小额贷款公司，仅凭一个身份证就敢贷款给对方？

其实这种分两种情况，一种情况是一些小额贷款的骗子说只要身份证，其他什么都不需要就可以下款，碰到这种情况就要小心，拿到你身份证之后，他就可能让你交钱，不交钱还威胁你泄露你的身份证信息；

另外一种是小额贷款公司的宣传语，宣传的是只需要身份证，但是其实在贷款的时候还需要你提供收入证明、工作证明或者征信报告等，这类就是正规的可以下款的。

2.利息大大低于普遍的利息

比如之前闹得沸沸扬扬的“祼贷”，女大学生借钱周息高达30%，这也是高利贷无疑，而且这种高利贷通常还伴随着暴力催收，一旦你上钩，就很难走出这个恶性循环。

当你碰到声称利息比银行还要低的金融机构，一定要谨记这段话，天上不会掉馅饼，骗局多始于贪念。同时在签订贷款合同时，一定要对高利贷有一个基本概念。

3.贷到款前却先让交钱的

通常情况，正规网贷平台在发放贷款前不会收取任何费用，需要收取的手续费、管理费等各项费用一定会在协议中明确标示出来，让当事人清楚知晓，贷款发放成功后才开始收取。

包括各大银行办理信用卡，卡批下来之前不会收取任何费用，只有卡批下来激活正常使用之后，才会扣相关的费用。

那些四处吆喝能帮忙贷款、办信用卡，贷的钱还没影，办的信用卡还没拿到，就先让交钱的，99%是骗子!

4.卖“强开技术”的

相信不少人都碰到过卖“强开技术”的人。什么“蚂蚁借呗强开，收费800块，包出2万以上额度”等等。不管变化多少种花样，只有一个目的，那就是让你掏钱。

等你掏了钱，还装模作样给你发过来一套所谓的“教程”，骗取你的信任，等用过之后就会发现依然强开不了。有的则直接把你拉黑，再联系就联系不上了。

不管是微粒贷、蚂蚁借呗，还是蚂蚁花呗，目前采用都是系统邀请制，官方不邀请，谁也强开不了。

5.木马程序盗取银行卡信息

这种骗局相对隐蔽，骗子一般首先设局，将事先编好的贷款信息，以短信、QQ消息、微信等形式群发，待借款人上钩以后，骗子发送“木马”程序安装包，借款人乖乖按要求提交自己的银行卡卡号、密码等重要信息以后，银行卡内的余额就被全部转走。

不要轻信任何私人、不正规贷款机构发过来的信息，更不要在不信任的网站上输入自己的身份证号码、银行卡号密码等重要信息。

6.用钓鱼网站做幌子

钓鱼网站的骗局其实不是什么新兴事物，它与我们以前写到的不少仿冒商品的本质一样，比如康帅博牛肉面仿冒康师傅牛肉面。唯一不同的是，你买到假冒商品可能受到的金钱损失要小，而碰到钓鱼贷款网站，自己的存款可能全被骗走。

当你在百度搜索某一个贷款机构或是金融服务平台上，一定要点击进入官方网站，认清官网和“推广”之间的差别，这样可以减少碰到钓鱼网站的机率。

7.没有放款就让支付费用

这个是很多小额贷款骗子最常用的招数，也是一个屡试不爽的招数。小额贷款的骗子他们会让你预先支付一定的保证金或者资料费什么的，给你保证贷款额度很高，而且很快就可以到账，在急用钱的时候，你完全就不会想那么多，结果等你交完钱，再去联系他，就找不到人了。

8.贷款要找正规平台

现在的QQ、微信朋友圈、小区墙角、公共厕所，除了微商、包小姐之类的广告外，战斗力最强的就是各种贷款小广告了，能看到的地方，都能被它们霸占。

越是这类小广告越要提高警惕，多数网上贷款被骗的人都是轻信了这些贷款小广告。那些宣传单凭身份证就能贷款的，利息低到不可思议的，多暗藏陷阱。你想从他那贷到款，他只想骗你手里的钱。




温馨提醒

1、银行、正规贷款公司不会要求借款人申请贷款前支付“保证金”、“手续费”、“服务费”等各种费用；

2、强化自我的保护意识，维护自身权益。提高警惕谨不随意泄露个人信息和银行卡信息到贷款平台；

3、树立正确消费观，适度消费。在消费能力的前提下，从实际需求出发，不要情绪化消费，避免攀比心理和一时冲动消费。",
全民反诈在行动 | 警惕虚假网络贷款!,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7298937878263497270%2F%3Fchannel%3D%26source%3Dnews&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e70f8205adce79d36d8afa7850b8bec1cbc722c6b2b9512f786e4e9a286b6f437a729a906dfd3c90b96e6c792041c64ba1,https://p3-sign.toutiaoimg.com/tos-cn-i-6w9my0ksvp/f790d869178149dea9699648d2fbe58a~tplv-26tn0yjwph-cspd-v1:450:294.jpg?_iz=102390&from=search&x-expires=1708387200&x-signature=eNlUD2fA80%2BGQ2546wszIS2usLI%3D,"郑州市公安局反诈中心每日提醒警情速递近期我市发生一起[虚假网络贷款]类诈骗案件,受害人点击诈骗分子发来的短信链接,下载虚假贷款APP在对方诱导下转...",中原网,"郑州市公安局反诈中心每日提醒

警情速递

近期我市发生一起[虚假网络贷款]类诈骗案件，受害人点击诈骗分子发来的短信链接，下载虚假贷款APP在对方诱导下转账交纳保证金，损失40000元

诈骗案例：受害人丁某手机接到一条短信，显示其有138800元的贷款额度，可以通过短信里的网址链接申请放款。丁某点击链接下载了名为“京东金融”的APP注册登录后平台客服让丁某下载聊天软件“TikChat”与贷款经理联系。之后丁某在贷款经理的提示下操作申请贷款20000元，对方让丁某先交百分之五十的保证金，称放款时会退还到其银行卡。丁某向对方提供的账户转账10000元后，发现无法提现贷款，对方称丁某提现时卡号填写错一位，现在要到银监会的系统上申请修改账号，需要再交30000元保证金，丁某无奈又向对方转账30000元，却依然无法提现，此时对方又称丁某转账时没有填写备注，需要重新交纳保证金。此时丁某感觉可能是被骗了，于是报警。

警方提醒

1、办理贷款应选择正规的金融机构，在官网、正规应用商城下载贷款APP，不轻信陌生来源的网络贷款信息。

2、对于来源不明的短信、网络链接、二维码，不要随便点击和扫描，切勿被其额度大、利息少、门槛低的噱头所吸引，尤其放款前要求缴纳保证金、认证金、手续费的，都是诈骗！",https://p3-sign.toutiaoimg.com/tos-cn-i-axegupay5k/0bdd44134a284ec0bbe525279cdcc72f~noop.image?_iz=58558&from=article.pc_detail&lk3s=953192f4&x-expires=1700277091&x-signature=oFzajWu9Kk6i220pIp9SwwWYyvg%3D
警惕虚假网络贷款类诈骗,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7298956209359815183%2F%3Fchannel%3D%26source%3Dnews&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e73fb2d1849e680b39a715af4dbdfdc136a5af998d05fb4a6b8136eddf464f752b9d0e991ffb5acc59b94aeffba1c82c48,https://p26-sign.toutiaoimg.com/tos-cn-i-tjoges91tu/46262c175eb7905ac49dcdeb384ff5fb~tplv-26tn0yjwph-cspd-v1:450:294.jpg?_iz=102390&from=search&x-expires=1708387200&x-signature=8Cyr5quqqOfKigQ3opyADH8OeOI%3D,"周云转账2.9万元到对方账户后发现被骗。警方介绍,虚假网络贷款类诈骗通过网络媒体、电话、短信、社交软件等方式进行推广引流,以“无抵押”“免征信”...",在玉溪,,
揭秘让你“越贷越穷”的网络贷款诈骗,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7230088000187662859%2F%3Fchannel%3D%26source%3Dnews&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7c212389e35d1e3b47d12d48cf030cfaba62d5d5567174015283d59bbef4071b26c5a3ee1030a0d056946c314aa6ea616,https://p3-sign.toutiaoimg.com/tos-cn-i-tjoges91tu/Tb8EJ8wImazWHO~tplv-26tn0yjwph-cspd-v1:450:294.jpg?_iz=102390&from=search&x-expires=1708387200&x-signature=GdZp%2BiAA15CkGhGhJvjApDNf6o4%3D,"网络贷款诈骗骗子会以“无抵押、秒到账、不查征信”等为幌子,吸引受害人下载虚假贷款APP或登录虚假贷款网站,接着以缴纳“手续费”、“保证金”、“解...",广州公安,,
警惕!网络贷款“新骗术”来了，已有人上当!,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7214276225982792203%2F%3Fchannel%3D%26source%3Dnews&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7244cefccdd3ce7643000ca19f3e91a6fcc6fe5b2f0b5eaf8402e0d44bfe6e6e2889b964384ce6f3c1c8e154b1e425fbe,https://p3-sign.toutiaoimg.com/tos-cn-i-tjoges91tu/TZTJCDRELWOQBk~tplv-26tn0yjwph-cspd-v1:450:294.jpg?_iz=102390&from=search&x-expires=1708387200&x-signature=5INZxqeY%2B82CKAtoixkzJD0x454%3D,"反诈劝阻员叶俊在查看软件和聊天记录后,告诉小徐这是关于网络贷款的新型诈骗方式,本质还是骗你口袋里的钱。在反诈劝阻员的建议下,小徐到银行将1000元...",环球网,"来源：临安公安

随着网络日益发达

网上小额贷款软件应运而生

成为现在不少年轻人的

“首选”消费、借款方式

近日，家住临安青山的25岁小伙儿小徐就由于手头紧，打算在网上贷款2000元应个急。他通过网络搜索关键词“贷款”，马上跳出了很多贷款推荐软件。小徐左看右看，反复对比，最终挑选了一款名为“周转快”的贷款软件进行了下载。本以为借点小钱轻轻松松，没想到平台以资质不足拒绝了小徐的贷款申请，贷款失败后小徐也就打消了借钱的念头。

本以为事情就这样过去了。不久后，小徐接到自称“周转快”客服的电话，称平台可以给小徐放款。这可把他高兴坏了，也没多想，爽快地向对方提供了自己的个人信息。没过多久，小徐的银行卡上收到一笔来自个人账户的1000元汇款。小徐心生疑惑，明明贷款2000元，怎么只收到1000元？但转念一想，有总比没有好。

可没想到，才过了两天，“客服”联系小徐让他马上还款2000元。好家伙，这是遇到“贷款刺客”了啊。

小徐意识到自己是遇到网络诈骗，对于“客服”的催债行为不予理会。“客服”见小徐不肯还钱，也使出了“杀手锏”，以电话、短信轰炸的方式向小徐和他朋友催债。正当小徐不堪骚扰时，他接到青山派出所反诈劝阻专线96110的电话，小徐马上赶到派出所报案。

反诈劝阻员叶俊在查看软件和聊天记录后，告诉小徐这是关于网络贷款的新型诈骗方式，本质还是骗你口袋里的钱。在反诈劝阻员的建议下，小徐到银行将1000元退还到对方账户，将所涉及的APP和联系方式全部删除，关注“机伶”公众号开启智能防骚扰模式，并下载国家反诈中心APP开启预警功能。

警方提醒

广大市民在遇到类似的诈骗手段，一定要提高警惕，坚决做到不轻信、不透露、不转账，避免自己的财产受到损失。

▼ 通过聊天软件向你推荐网络贷款的，涉及要求提供验证码或者要求提供银行卡密码的均是诈骗。

▼ 任何网络贷款，放款前以缴纳各种费用，要求转账的都是诈骗。

▼ 申请贷款请通过正规金融机构办理，切勿轻信陌生好友、陌生电话、短信、网络广告。

▼ 强化自我保护意识、不轻易将个人信息透露给他人。

谨防诈骗

不听 不信 不转账

来 源 | 於潜派出所",https://p3-sign.toutiaoimg.com/tos-cn-i-tjoges91tu/TZTJCDRELWOQBk~noop.image?_iz=58558&from=article.pc_detail&lk3s=953192f4&x-expires=1700277100&x-signature=fkUKead%2BfDql9WZcE0DWsu5PlDw%3D
警惕网络贷款诈骗，别让“心动”变“心痛”!,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7232109623493394984%2F%3Fchannel%3D%26source%3Dnews&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e744fded78700a66ffdff342541e7e9446267e075ecba16734333db4b6608f6a08ba65bce2ac457308e192fed5cbf51b5f,http://p3-tt.byteimg.com/img/tos-cn-i-qvj2lq49k0/2c0c6db22fbe4371becd74275be5df63~tplv-26tn0yjwph-cspd-v1:276:184.jpeg,"如果你不懂网络贷款诈骗的套路小心贷款贷不成反倒越贷越穷真实案例近日,黑山县的王女士准备开一间小店,正为资金发愁时,便接到一则自称银行工作的电话...",潍坊网警,"无论是刚刚毕业准备干一番事业的你

还是每个月还车贷、房贷、信用卡的你

对于急需要用钱的你而言

一个能愿意提供低息贷款的电话

简直就是雪中送炭

天下竟有这种好事？

如果你不懂网络贷款诈骗的套路

小心贷款贷不成

反倒越贷越穷




真实案例

近日，黑山县的王女士准备开一间小店，正为资金发愁时，便接到一则自称银行工作的电话，对方称：王女士信用额度良好，可以自己去银行办理贷款业务。起初，王女士并不想理会，但是在对方屡次“献殷勤”的情况下，放松了警惕，向对方表达想要贷款一万元的想法，并加了微信好友。

加上微信后，对方发来一个链接，让王女士下载了“招商金服”APP。在骗子的一系列操作和劝说下，王女士早已没有了防备之心，如实向对方提供自己的电话号、银行卡等信息。之后，王女士按照对方的要求开始在“招商金服”APP提现操作，王女士进行提现操作后系统却显示“由于操作错误账户被冻结”。

此时骗子通过告诉王女士需要向其指定账户转账3000元钱解冻。王女士为了顺利完成贷款，便向骗子提供的银行卡号进行转账。转账后，提现操作系统还是显示“操作错误账户被冻结”，骗子再次让其转账解冻，此时王女士意识到自己被骗，于是选择报警。

看过了真实案例，今天我们再一起看看网络贷款诈骗的惯用伎俩：

第一步：引流




诈骗团伙会利用网络，大面积投放网络贷款短信、广告等。曾经浏览过网络贷款网站的你，将会成为诈骗团伙定向投放的目标，然后静等“鱼儿”上钩。

第二步：吸引




在诈骗广告、短信中，“无抵押”、“低利率”、“快速放款”、“大额度”、“低门槛”等字眼反复出现，你是不是觉得大额贷款触手可及。

第三步：链接




当你点开骗子发来的短信链接后，会进入骗子制作好的网页，或者App的下载链接，这些页面一般都会仿冒一些知名的贷款平台，足够以假乱真，让你信以为真。

第四步：套取




这些以假乱真的APP和正规贷款平台一样，也会要求你填写一连串的个人信息，包括姓名、身份证号、银行卡号、手机号等，只要你提交了，恭喜你成为他们眼中的“VIP”。

第五步：骗钱




当你想从贷款平台提现时，对方会提出，缴纳一定比例的提现费、保证金等。相对于如此大额的钱款，提现费、保证金就不值一提了。缴纳了保证金准备提现？不好意思，等待你的是银行卡错误、身份证过期、个人征信有问题，无法提现是肯定的。怎么解决，需要资金对冲，还需要你再充值一些钱款。




第六步：消失




当你恍然大悟，意识到自己似乎好像可能差不多是被骗了，再想联系客服，对不起，对方已经消失得无影无踪了。

警方提示




1.凡是放款前，要求您先转账的贷款，均是诈骗。正规贷款过程中，放款机构审核贷款人个人信用、还款能力或质押物的估值，不会要求先期缴纳任何费用。

2.“无息”“低息”“无抵押”“秒放款”等字眼不过是诱饵，越是这样的广告越存在较大风险。

3.办理贷款一定要选择国家正规金融机构，切忌心存侥幸，不轻信网上贷款信息。不轻信更不可轻易给对方转款，防止上当受骗。",https://p3-sign.toutiaoimg.com/tos-cn-i-qvj2lq49k0/b3fc36e724e24810bc49cad8d6127461~noop.image?_iz=58558&from=article.pc_detail&lk3s=953192f4&x-expires=1700277103&x-signature=X773IUnEaKsE44ggXqfW2i9dnqs%3D
反诈中心预警:​网络贷款依然是诈骗重灾区!,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7295646172755018255%2F%3Fchannel%3D%26source%3Dnews&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7f46a2eb89262336b4c6c052efcf0435d9cbbf9a1470da0fc610e1819ccbc8c26359a715958daa6839ccb072a505cffd5,https://p3-sign.toutiaoimg.com/tos-cn-i-6w9my0ksvp/879258e5a70c499fb56564f2829dc788~tplv-26tn0yjwph-cspd-v1:450:294.jpg?_iz=102390&from=search&x-expires=1708387200&x-signature=ZtJXvrPo3EnjPxQKBAt4G%2BZF3JQ%3D,"如果不懂网络贷款诈骗的套路, 不但贷款贷不成, 反倒越贷越穷。 比如下面这位小哥哥 警方为你一层一层揭开诈骗全过程 1 接到贷款公司电话 10月3日,小...",首都网警,"想必对于急需要用钱的人而言，

贷款无疑是一个好办法

但向银行申请贷款步骤繁琐

还需要等待审核........

相比而言

网络贷款方便快捷

更为吸引人 ！！！

但这往往是骗局的开始，

如果不懂网络贷款诈骗的套路，

不但贷款贷不成，

反倒越贷越穷。

比如下面这位小哥哥

警方为你一层一层揭开诈骗全过程




1

接到贷款公司电话

10月3日，小陈（17岁）接到一个自称为某贷款平台客服打来的电话，刚好小陈近期确实需要急用钱，在跟对方简单了解后，便添加了对方的QQ帐号。




2

下载贷款APP后注册信息

加上好友后，对方让小陈下载一款名为“某某贷”的软件，并让其在这个软件上注册帐号，填写相关的基本信息，同时申请50000元的额度。




3

要贷款，先交1600元平台费

这时，对方告诉小陈，申请的贷款额度不通过，想要通过申请必须交纳1600元的平台费用。小陈没有多想，立即使用微信向对方转账1600元。虽然，软件上显示审核通过了，但是小陈却始终无法提现，便联系了对方进行询问。




4

卡号填写错误？还要交2000元解冻费

而对方则称小陈填错银行卡号，导致账户被冻结，所以钱贷不下来，需要缴纳2000元的解冻费……

在支付成功后，小陈在软件中看到了自己的银行卡号已经改对了。




5

想要提现，再交2000元保险费

这时，小陈又发现，提现还需缴纳2000元保险费，并称在交付成功后，可以退还前面缴纳的解冻费和保险费共计4000元。小陈觉得反正都可以退回的也就没在犹豫，又继续转账了2000元的保险费。




6

亲属信用不良，还要缴纳3000元保证金

在小陈支付成功后，软件还是不能提现。这到底是怎么回事呢？

软件显示，小陈的亲属有严重不良的问题，暂时无法到账，还需再缴纳3000元保证金，才可放贷下来。直到此时，小陈才意识到自己遇到了骗子，之后越想越不对劲，选择了报警。

钱没贷到 存款却没了

附：骗子常说的套路




骗子说：“凭一张身份证，不管你是黑户还是白户，当天就能办下贷款。”




残酷的现实是：

通常情况下，一旦交纳手续费之后，按照对方的要求办理了贷款，最终遇到的结果就是贷款没到手，高额的手续费先被骗走。




骗子说：只需要提供“身份证”之类的信息就可以拿到贷款




残酷的现实是：

编造各种理由，提前收取贷款人的费用，通常以材料费、保证金等由头忽悠借款人上钩。当贷款人将钱打入对方账户以后，骗子完成一轮骗局，消失。




那么如何识破网络贷款诈骗？

1、凡是声称“免押低息立即放款”的网络贷款广告都是诈骗；

2、凡是以账户填写错误要求转“解冻费”的网络贷款都是诈骗；

3、凡是以流水不足要求转账刷流水的网络贷款都是诈骗；

…………

网友常见问题汇总：

01

正规网络贷款APP哪里下载？

正规下载网络贷款APP要在手机官方应用市场，切记不要从陌生人发来的链接或广告网页上的链接上下载。切记谨防不法分子制作的与正规网络贷款平台极为相似的虚假网络贷款APP。

02

填写网络贷款申请，没有收到钱，要承担违约后果吗？

不会，这是不法分子的诈骗套路，所填写的APP都是虚假链接，不需要偿还原本就不存在的“贷款”，更无须承担违约后果。

03

不交保证金，对方说会影响征信，怎么办？

这是常规网络贷款诈骗套路，无须与不法分子辩驳，越是辩驳越容易掉进骗子的圈套，遇到这种情况，直接拉黑，切记不要再与不法分子联系。这是不会造成任何不良法律后果的。

防骗每日电讯提醒




1.切勿轻信各类电话、短信、QQ、微信等形式的贷款广告。




2.需要申请贷款时，到正规贷款机构申办贷款是唯一正确的选择，并且正规机构都是公开营业场所，有公开联系方式和营业执照等，在进行信用贷款时还需要相关手续，比如申请人的身份证明、工作证明。




3.最重要的是，银行、正规贷款公司不会要求借款人在申请贷款前就支付手续费等各类费用。

来源：防骗每日电讯

责任编辑：柯学子",https://p3-sign.toutiaoimg.com/tos-cn-i-axegupay5k/a8eb107c7f284e1f88ab89651f7a5d88~noop.image?_iz=58558&from=article.pc_detail&lk3s=953192f4&x-expires=1700277106&x-signature=0F2h32p4ZfLLw7UqeAuzaiwuJ2A%3D
【反诈宣传】一个永远无法“提现”的骗局——网络贷款诈骗,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7242255234951774724%2F%3Fchannel%3D%26source%3Dnews&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7051070c2ab29656cd963f50427c7c9ca6f5c633421b19821b0ecdf6e92a63379bcb99a0effbff93398876d22da539043,,"突然收到一条短信称可以低息贷款,注册即到账带你揭秘虚拟网络贷款诈骗来源:海东平安公安",平安普法,"突然收到一条短信

称可以低息贷款，注册即到账

带你揭秘虚拟网络贷款诈骗

来源：海东平安公安",https://p3-sign.toutiaoimg.com/tos-cn-i-qvj2lq49k0/dc8278bb141040888a7d5cb4e08e0e10~noop.image?_iz=58558&from=article.pc_detail&lk3s=953192f4&x-expires=1700277109&x-signature=K9uNiIccSxB9TiNMoLUtvEimZ%2F0%3D
