case,speaker,content,is_fraud
广发煤炭_淮河能源近况交流电话会议,发言人1,大家好，欢迎参加广发煤炭淮海能源近况交流电话会议。下面开始播报你的声音，声音播报完毕后，主持人可直接开始发言。,False
广发煤炭_淮河能源近况交流电话会议,发言人2,免责声明，本次电话会议内容仅供广发证券客户参考，在任何情况下，本次电话会议内容不构成对任何人的投资建议，除非法律法规有明确规定。在任何情况下，广发证券不对因使用本次电话会议内容而引致的任何损失承担任何责任。相关人员不应以本次电话会议内容取代其独立判断或仅根据本次电话会议内容作出决策。,False
广发煤炭_淮河能源近况交流电话会议,发言人2,未经广发证券事先书面许可，任何机构或个人不得以任何形式复制、刊登、传播和引用本次电话会议内容，包括未经授权对会议内容进行录音复制、未经授权制作或传播会议纪要内容等。否则，由此造成的一切不良后果及法律责任由私自复制、刊登、传播和引用者承担。,False
广发煤炭_淮河能源近况交流电话会议,发言人2,广发证券将对未经授权复制、制作、刊登、传播电话会议内容的人员暂停白名单权限，事情可暂停所在机构白名单权限，直至相关不良影响得以消除。,False
广发煤炭_淮河能源近况交流电话会议,发言人3,各位投资者，大家上午好。非常感谢大家能来参加我们今天的淮河能源的电话会议。今天我们也是非常荣幸的邀请到了淮河能源的总经理马总和郑代黄总来跟大家做这样的一个交流。首先我们先请两位领导帮我们介绍一下公司去年的还有今年的一些经营的一些情况。然后大家有问题的话，再向两位领导来请教。马总，黄总。,False
广发煤炭_淮河能源近况交流电话会议,发言人4,好好行，好的，海龙给您介绍一下情况。,False
广发煤炭_淮河能源近况交流电话会议,发言人5,好的，现在我向各位领导汇报一下公司的一个基本情况。首先介绍公司的一个发展历程。公司前身是在芜湖港，2000年11月成立的，然后是2003年3月在上交所挂牌上市的。2010年11月的时候，公司向淮南矿业非公开发行股份，购买了其持有的铁路运输以及淮矿现代物流，公司百分之百股权。,False
广发煤炭_淮河能源近况交流电话会议,发言人5,收购完成之后，公司的控股东也由港务公司变更淮南矿业，然后实际控制人也变更成了安徽省国资委，16年三月份的时候，上市公司再次向控股的淮南矿业发行股份，购买了其持有的怀化煤电50.43%的股权，以及淮沪电力49%股权，以及发电公司百分百股权。,False
广发煤炭_淮河能源近况交流电话会议,发言人5,19年五月份，安徽省搞港口资源整合，然后公司以作价入股的方式将省内所属的一个港口资产，作价入股到安徽省港口运营集团，成为省港口云集团的第二大股东。同年9月份，公司名称正式变更为淮河能源。然后去年2023年12月底，公司以11.8亿元收购了我们控股中所属的川西发电公司百分百股权。,False
广发煤炭_淮河能源近况交流电话会议,发言人5,收购完成之后，公司的一个火箭资产规模得到了一个比较大幅的提升。然后火箭主业也更加突出，截止目前，公司的一个股权结构是，空股东淮南矿业以及其以及实际控制，一审行动人上海丰资产管理公司，总共持有公司63.27%的一个股。,False
广发煤炭_淮河能源近况交流电话会议,发言人5,目前然后公司下面有三个分公司，分别是铁运分公司以及顾桥电厂，还有潘山电厂，现在有五个全资子公司，现在是白光电源公司以及电源无锡公司，售电公司以及江苏售电公司。一个就是去年年底收购过来的潘吉发电公司，一个控股子公司就是华国煤电，我们持有50.43%。,False
广发煤炭_淮河能源近况交流电话会议,发言人5,然后三个餐厅管公司分别是发货电力是49%，然后还有一个镇江东港，我们持有他50%。第三个就是安徽省港口运营集团公司，持有它31.92%的一个股权。接下来介绍一下公司的一个主要的一个产业板块。公司目前总共有四大业务板块，分别是火力发电，然后售电业务、配备业务以及铁路运输业务。,False
广发煤炭_淮河能源近况交流电话会议,发言人5,其中火力发电这块的一个业务主体主要有两块。,False
