case,speaker,content,is_fraud
案例-0,李某洋,您好，我是李某洋，很高兴在这个相亲网站上认识您。我目前在部队服役，平时工作比较忙，不太方便使用微信。,False
案例-0,刘某,你好，认识你很开心。你在部队工作一定很辛苦吧。,False
案例-0,李某洋,是的，所以我们平时都是用一个叫“手伴”的聊天软件，这样更方便一点。你可以下载一下吗？,False
案例-0,刘某,好的，我这就下载。,False
案例-0,李某洋,下载好了之后，我们可以在上面更方便地聊天。我最近看到一个很好的投资机会，特别是股票理财方面，回报率非常高。,True
案例-0,刘某,股票理财？我对这方面不是很了解。,False
案例-0,李某洋,没关系，我可以教你，投资门槛也不高。你要是感兴趣，可以先投一点试试，我来帮你操作。,True
案例-0,刘某,听起来不错，那我需要怎么做呢？,False
案例-0,李某洋,你先给我转账10万元，我会帮你操作，一周内就能见到收益。,True
案例-0,刘某,那好吧，我信任你，希望真的能赚钱。钱已经转过去了。,False
案例-0,刘某,钱怎么还没见到收益？,False
案例-0,李某洋,有时候可能会有些延迟，你再等等。其实这个机会真的很好，如果再多投一些，收益会更大。,True
案例-0,刘某,那好吧，我再转过去20万元。,False
案例-0,刘某,为什么还没收益？网站也登不上去了。,False
案例-0,李某洋,别担心，我会帮你解决的。或许是系统维护，你再等等。,True
案例-0,刘某,可是我已经等了很久了，而且联系不上你了，怎么办？,False
案例-0,李某洋,......,False
案例-1,李峰,你好，我是中鑫城投资有限公司的客服李峰。这边有一批通过中鑫黄金APP限量销售的黄金，价格比市场价低20块钱每克，你有兴趣了解一下吗？,True
案例-1,吴丹,价格低这么多？你们这是真的黄金吗？,False
案例-1,李峰,当然是真的黄金，我们公司是正规注册的，在深圳龙华区有实体店，很多客户都通过我们买到实惠的黄金。你可以先购买少量试试看质量。,True
案例-1,吴丹,好吧，那我先买10克试试。,False
案例-1,吴丹,我收到了，去金店验了一下，确实是金子，赚了将近200块钱。,False
案例-1,李峰,看吧，我说的没错吧？我们每晚10点到次日早上8点都会开放销售，数量有限哦。你可以每天抢购两次，如果下手快的话还能多买些。,True
案例-1,吴丹,那我再买20克。,False
案例-1,吴丹,又赚了400块！太棒了！,False
案例-1,吴丹,这次我打算多买点，再叫我亲戚也来一起买。,False
案例-1,李峰,好啊，黄金价格一直在上涨，现在买绝对很划算。但你要抓紧时间，每次放货数量不多。,True
案例-1,吴丹,我用了四张信用卡，还借了几十万，加上我姐姐的一共买了760克的黄金。希望这次也能赚一笔。,False
案例-1,吴丹,奇怪，怎么客服变成自动回复了？发折扣信息的人也不回消息了？,False
案例-1,未知受害者,我也是这样，我们几个也没有收到黄金，现在成立了联络小组，一起去报警吧。,False
案例-1,范某某,大家别急，我是范某某，我们公司正在处理，每个人的货都会发出来，请给我们两天时间。,True
案例-1,徐克,那我们等两天再看看情况吧。这次我花了近30万元，要是拿不到黄金，我的损失可大了。,False
案例-1,年轻人,我看到了范某某，他说明天就给我们发货。,False
案例-1,吴丹,我收到立案通知了，警察正在调查这起诈骗案件。,False
案例-1,受害者代表,我们通过通讯群发现，这起骗局涉及的金额超过800万，全国有数百名受害者。,False
案例-1,吴丹,我信用卡还款日快到了，看来要卖车了。如果不够，我还得贷款支付。,False
案例-1,警方,我们已经拘留了3人，1人被网上追逃，追回赃物的工作正在进行中。,False
案例-2,吴丹,安静，这次我应该怎么买？一直听说你圈子里有好货源。,False
