case,speaker,content,is_fraud
案例-0,李华,您好，这里是电商平台的客服中心，请问您是张先生吗？,False
案例-0,张伟,是的，我是张伟，请问有什么事吗？,False
案例-0,李华,张先生，您最近在我平台上购买了一些商品对吧？我们这边检测到您的商品可能存在质量问题，为了保障您的权益，现在需要进行理赔退款。,True
案例-0,张伟,哦，真的吗？那该怎么操作呢？,False
案例-0,李华,我们需要您提供您的订单号和一些个人信息，以便我们核实您的身份并快速处理您的退款。,True
案例-0,张伟,好的，我的订单号是1234567890，需要哪些个人信息？,False
案例-0,李华,需要您的姓名、身份证号码以及银行卡号。请您放心，我们会严格保密您的信息。,True
案例-0,张伟,我的姓名是张伟，身份证号码是123456789012345678，银行卡号是622202020202020202,False
案例-0,李华,非常感谢您的配合。为了确保信用卡或银行卡安全，我们还需要您提供收到的验证码。,True
案例-0,张伟,验证码是123456,False
案例-0,李华,好的，我们已经核实完毕，您的退款将在1-3个工作日内到账。如果还有什么问题，您随时可以联系我们。谢谢，祝您生活愉快。,True
案例-1,李伟,您好，我是京东的客服代表李伟。,True
案例-1,林先生,您好，请问有什么事吗？,False
案例-1,李伟,您之前在京东金融开通过京东金条，现在我们发现您的利率过高，根据国家政策规定，需要关闭这个服务，否则会影响到您的个人征信。,True
案例-1,林先生,真的吗？那我该怎么办呢？,False
案例-1,李伟,没关系，不用担心。我可以教您如何关闭这个服务。请您拿出您的手机，按照我的指示操作。,True
案例-1,林先生,好的，我在操作了。,False
案例-1,李伟,现在，请您下载一个叫'云视通'的APP，我们将通过视频会议进行远程指导，这样会更方便。,True
案例-1,林先生,下载好了，然后呢？,False
案例-1,李伟,好的，请您打开'云视通'APP并加入我们的视频会议，然后打开屏幕共享功能，这样我可以更好地帮助您。,True
案例-1,林先生,好的，我已经打开了屏幕共享。,False
案例-1,李伟,现在进入您的京东金融账户，并关闭京东金条。好了，这一步完成了。,True
案例-1,李伟,我们还注意到您名下还有一个微信'微粒贷'。根据要求，这个也需要关闭。您需要将微粒贷额度全部提现到您的个人银行账户。,True
案例-1,林先生,那我怎么操作呢？,False
案例-1,李伟,请按照我的指示进行操作，先进入微信的微粒贷，然后将所有额度提现到您的个人银行账户。,True
案例-1,林先生,已经转好了，然后呢？,False
案例-1,李伟,现在，您需要将转出来的资金转到我们的一个中间账户，以便我们进行进一步处理，确保您的账户安全。,True
案例-1,林先生,好，我把钱转过去了。,False
案例-2,刘伟,您好，请问是陈丽吗？我是某电商平台的客服，您的订单由于系统故障需要进行退款处理。,True
案例-2,陈丽,是的，我是陈丽。您好，请问怎么回事？,False
案例-2,刘伟,由于系统升级，我们发现您的订单支付信息存在异常，需要为您办理退款。为了保证您的资金安全，请您提供银行卡信息和相关手机收到的验证码。,True
案例-2,陈丽,好的，我把银行卡信息和验证码都提供给您。,False
案例-2,刘伟,非常感谢配合。请稍等，稍后款项会原路退回到您的账户。如果有任何问题，请随时联系我们的客服热线。,True
案例-2,陈丽,我明白了，谢谢您。,False
案例-2,陈丽,（发现账户有异常后联系实际电商平台）你好，请问我的订单和退款有问题吗？,False
案例-2,实际电商客服,我们这里没有您的退款记录，很可能您遇到了诈骗。请立即报警处理。,False
案例-3,王丽,您好，请问是李雪吗？我们是京东客服，刚刚查看到您的京东白条借款服务需要关闭，如果不解除会产生利息扣费，还会影响您的个人征信。,True
案例-3,李雪,哦，好的，那我需要怎么操作呢？,False
案例-3,王丽,李女士，您只需要按照我们的指示进行操作，非常简单。首先，您需要进行一个贷款操作，但这笔贷款并不是真的，我们主要是为了完成其中的贷款步骤，我们会在后面帮助您取消。,True
案例-3,李雪,好的，那我马上操作。,False
案例-3,王丽,非常好。接下来，您需要将贷款的金额转到我们指定的银行账户，这样我们就能解除您的借款账户了。请记住，这个流程是为了确保一切正常进行。,True
案例-3,李雪,明白了，我已经完成了转账。接下来还需要做什么吗？,False
案例-3,王丽,非常感谢配合。现在我们已经收到您的转账，接下来您只需等待系统自动解除借款服务，我们会在24小时内通知您结果。,True
案例-3,李雪,好的，谢谢！,False
案例-4,李明,你好，请问您是王先生吗？,False
案例-4,王强,是的，我是王强。请问您是哪位？,False
案例-4,李明,您好，我是银行的客服李明，刚刚我们系统发现您的账户有一笔异常交易，请问您最近有进行过大额转账吗？,True
案例-4,王强,没有啊，我最近没有进行大额转账，这到底是怎么回事？,False
案例-4,李明,可能是您的账户信息被盗用了，为了确保您的资金安全，请您按照我们的安全程序操作，我们需要验证您的身份信息。,True
案例-4,王强,那我应该怎么做呢？,False
案例-4,李明,我们需要您提供银行卡号、身份证号以及最近的交易记录，以便我们核实您的身份和账户的安全问题。,True
案例-4,王强,这个信息提供给你们安全吗？,False
案例-4,李明,请您放心，我们是银行的正规客服，所有信息都会严格保密，只用于账户安全验证。,True
案例-4,王强,好的，我的银行卡号是6214-5678-9123-4567，身份证号是110223198012345678，最近的交易记录有三笔，分别是100元、200元和50元。,False
案例-4,李明,好的，感谢您提供的信息，我们已经验证完毕，您的账户安全现在没有问题了。如有需要我们会再次联系您。,True
案例-4,王强,好的，谢谢你。,False
案例-5,李客服,您好，我是某电商平台的客服，名字是李东。由于您在我们平台购买的商品在物流过程中不慎丢失，平台决定向您支付三倍的赔款。,True
案例-5,张聪,啊？真的啊！那我需要做些什么吗？,False
案例-5,李客服,是的，张女士。为了便于赔付款的转账操作，我们需要您提供您的个人银行卡号，因为公司规定必须把赔付资金打到银行卡上。,True
案例-5,张聪,好的，我现在把银行卡号发给您。,False
案例-5,李客服,感谢您的合作。我们这边查到您的信用记录非常良好，所以决定再给您赠送一个百万医疗保险，第一年完全免费。只是需要您先交付100元来激活保险账户，同时还需要您提供个人身份证号。,True
案例-5,张聪,可是，我有点不太相信这是真的。,False
案例-5,李客服,为了打消您的顾虑，我先把我的身份证照片和客服号照片发给您。请放心，我们是正规的公司。,True
案例-5,张聪,嗯，那好吧，我现在把身份证号发给您。,False
案例-5,李客服,非常感谢。同时，您还需要下载“数字人民币”APP，以便我们通过该应用帮您将百万医疗保险变现。您只需要将个人银行卡绑定在“数字人民币”软件上即可。,True
案例-5,张聪,好的，我这就去下载并绑定银行卡。,False
案例-5,李客服,感谢您的配合，接下来我们将指导您将账户中的1.4万元转到指定账户。,True
案例-5,张聪,好的，已经转账了。,False
案例-5,李客服,很好，张女士。为了让您享受更多福利，我建议您在微粒贷上贷款，这样可以获得更多的赔偿。,True
案例-5,张聪,这样真的可以吗？那好吧，我试试。,False
案例-5,李客服,好的，我们也会帮助您操作，请您将贷款的1.6万元转到指定账户。,True
案例-5,张聪,我按照您的要求转账了。,False
案例-5,李客服,为了进一步优化您的账户，我们还需要您再办一张借记卡。,True
案例-5,张聪,这个要求有点多啊，是不是有什么问题？,False
案例-5,李客服,这是为了保证您的账户资金安全，请您放心。,False
案例-6,张三,你好，我是淘宝客服，注意到您的网店流水已经达到上限，需要解除限额。,False
案例-6,蔡伟,真的吗？那我该怎么办呢？,False
案例-6,张三,不用担心，您只需点击以下链接进入我们的淘宝客服中心页面，然后按照页面提示进行操作即可。,False
案例-6,蔡伟,好的，我马上去看。,False
案例-6,蔡伟,我点进去了，现在该做什么？,False
案例-6,张三,请在页面弹出的’流水认证’窗口进行手机银行转账5200元来提额。,True
案例-6,蔡伟,好，我已经转了。,False
案例-6,张三,您的花呗额度过高，还需继续转账2万元才能完成解除流水限制。,True
案例-6,蔡伟,什么？这么多钱！不对，我好像被骗了！,False
案例-6,王伟,您好，您的淘宝店铺因没有通过验证现已主动关闭客户交易，需申请开通。,True
案例-6,熊明,什么！如何申请开通？,False
案例-6,王伟,请点击下面的链接并按照提示进行操作。,False
