case,speaker,content,is_fraud
案例-0,张伟,丁先生，我最近发现了一款非常不错的投资APP，收益特别高，我自己已经试过了，回报率非常可观。你要不要也试试？,True
案例-0,丁志强,真的吗？能详细说说吗？这款APP叫什么名字？,False
案例-0,张伟,当然，这款APP叫‘财富宝’，刚上线不久。你可以先投入一些小钱试试看，安心的话再加大投资。,True
案例-0,丁志强,那我该怎么操作？,False
案例-0,张伟,很简单，你先下载这个APP，注册账号后绑定你的银行卡，然后就可以开始投资了。前几天我刚投资了十万，现在已经收益两千多了。,True
案例-0,丁志强,听起来不错，我试试看。希望能有好的回报。,False
案例-0,张伟,放心吧，绝对没问题，你要是遇到什么问题随时联系我。,True
案例-0,丁志强,好的，我已经投资了五万块，看看效果怎么样。,False
案例-0,张伟,很好，过几天你会看到收益的，如果有更多的资金可以投入，回报会更高。,True
案例-0,张伟,丁先生，最近我们开展了一个限时活动，再投资十万就可以享受双倍收益，你要不要抓住这个机会？,True
案例-0,丁志强,那我再投十万，看看效果。,False
案例-0,张伟,很好，恭喜你，过几天就能看到你的收益了。,True
案例-0,丁志强,张伟，我试着提现，但是一直失败，这是怎么回事？,False
案例-0,张伟,别着急，最近系统在升级，过几天再试试就好了。相信我，不会有问题的。,True
案例-1,张华,你好，我是某短视频平台上的投资理财导师张华，很高兴认识你。今天我们主要讲解一些基础的投资理财知识。,False
案例-1,闫某,你好，张老师。我最近对投资理财很感兴趣，希望能够学习一些实用的知识。,False
案例-1,张华,非常好，投资理财确实是一个非常好的方向，可以让你的财务更加自由。我们的课程会从基础到高级，系统地带你了解投资的各个方面。,False
案例-1,闫某,听起来不错，那我需要怎么开始呢？,False
案例-1,张华,你可以先购买我们的基础课程，只需要500元，就能获得全面的学习资料和视频教程。,False
案例-1,闫某,好的，我会去购买课程。,False
案例-1,张华,课程购买成功后，我们会有专人联系你，并给你提供一个专业的炒股软件，帮助你实操。这个软件是经过我们平台认证的，非常安全和可靠。,False
案例-1,闫某,那我该怎么获取这个软件？,False
案例-1,张华,只需要再支付1000元的软件费用，我们就会把软件发送给你，并指导你如何使用。,True
案例-1,闫某,好吧，我已经支付了软件费用，接下来该怎么操作？,False
案例-1,张华,你会收到一封邮件，里面有软件的下载链接和详细的操作指南。如果有任何疑问，可以随时联系我。,False
案例-1,闫某,好的，我已经按照你的指导成功安装了软件，并做了一些小试牛刀的投资，收益还不错。,False
案例-1,张华,那就太好了。既然你已经有了一些小的收获，不妨考虑进行更大规模的投资。我们正好有一个高回报的投资项目，只需要再投入5000元，就能获得更高的收益。,True
案例-1,闫某,真的吗？那我再试试看。,False
案例-1,张华,非常好，我已经帮你在系统里操作好了。这次的收益会更高，期待你的好消息。,True
案例-1,闫某,可是我发现我这次的投资好像没有什么收益，反而亏了不少钱，这是为什么？,False
案例-1,张华,这是因为市场波动影响，不用担心，我们有专业的团队会帮助你做出调整。你可以再投入更多资金，来弥补这次的损失。,True
案例-1,闫某,好吧，我再投入一万元，希望这次能赚回来。,False
案例-2,张强,訾女士，我最近发现了一款投资理财的APP，回报率非常高，我自己已经赚了不少钱。要不你也试试？,True
案例-2,訾莹,真的吗？回报率有多高？,False
案例-2,张强,对，非常高！我一个月就赚了几万块。只要你跟着我操作，绝对稳赚不赔。,True
案例-2,訾莹,听起来真的不错，那我要怎么操作呢？,False
案例-2,张强,你只需要下载这个名为‘天府’的APP，然后按照上面的指示操作投资期货、碳中和、农产品等项目。这个APP是内部推荐的，保证收益。,True
案例-2,訾莹,好，我已经下载好了APP，接下来怎么投呢？,False
案例-2,张强,你先投入一笔小额资金试试，刚开始你会发现收益很快就能提现。等你熟悉了，可以逐步加大投资金额。,True
案例-2,訾莹,好，我先投7200元试试看。,False
案例-2,张强,没问题，你会看到收益很快就会显现出来，到时候你就知道这是真的高回报投资了。,True
案例-2,訾莹,好的，我期待收益。,False
案例-3,客服小张,您好，我是某某理财机构的客服小张。请问您对我们的投资理财课程感兴趣吗？,False
案例-3,客户老李,是的，我对投资理财很感兴趣。你们这个课程主要讲些什么内容？,False
案例-3,客服小张,我们的课程主要包括市场分析、投资策略以及成功案例的分享，我们的讲师都有多年的投资经验，而且有很多成功投资的案例，可以帮助您快速提升投资能力。,True
案例-3,客户老李,听起来不错，我一直想学些实用的理财知识。课程价格如何？,False
案例-3,客服小张,我们这个课程非常划算，现在正好有优惠活动，原价9988元的课程，现在只需6888元。而且，学完之后，我们还会提供一对一的投资顾问服务，帮助您制定投资计划。,True
案例-3,客户老李,嗯，听起来挺值的。我需要考虑一下。,False
