case,speaker,content,is_fraud
案例-0,王丽,您有6580积分即将到期，请立即登录积分商城兑换商品。,True
案例-0,王女士,看起来是移动积分提醒，我赶紧看看能换什么。,False
案例-0,王丽,点击这个链接可以进入积分商城，使用积分兑换各类商品。,True
案例-0,王女士,这个夜光石英男表看起来还不错，用889积分和199元换购吧。,False
案例-0,王丽,感谢您的兑换，商品将在一周内送达。,True
案例-0,王女士,一周后，手表收到了，但质量很差啊。联系客服却没有人回应。,False
案例-0,赖洁,您有6000积分即将到期，立即登录商城兑换商品吧，还有馈赠的爱奇艺会员哦。,True
案例-0,赖先生,哦，又是积分兑换的信息，我用积分加200多元买一款手表吧。,False
案例-0,赖洁,感谢您的购买，商品和爱奇艺会员会很快到账。,True
案例-0,赖先生,过了几天，怎么还没到货？而且没有爱奇艺会员到账。,False
案例-0,陈燕,您的积分月底即将到期，赶紧兑换商品吧！,True
案例-0,陈女士,是移动运营商的积分活动吗？用积分兑个扫地机器人吧。,False
案例-0,陈燕,谢谢您的兑换，扫地机器人很快就会发货。,True
案例-0,陈女士,收到的扫地机器人简直不能用！联系客服也没人回应，这是怎么回事？,False
案例-1,王强,您好，陈先生！我这里是中原消费金融。根据您的信用记录，您已经具有63000元的贷款额度。点击以下链接可立即领取额度。,True
案例-1,陈建国,最近正缺钱，贷款正好可以应急，那我就点击链接看看。,False
案例-1,系统提示,请下载我们的官方APP“中原消费金融”进行操作。,True
案例-1,陈建国,已经下载并安装好了，现在我进入平台注册账户吧。,False
案例-1,陈建国,我需要填写身份证和银行卡信息吗？,False
案例-1,系统提示,是的，需要填写完整的个人信息，包括您的身份证和银行卡信息，以便我们审核。,True
案例-1,陈建国,信息都填写好了，马上提交申请5万的贷款。,False
案例-1,系统提示,您的银行卡填写有误，请联系客服修改。,True
案例-1,王强,您好，陈先生，我是客服王强。您需要支付5000元的修改费用，我们才能帮您修改银行卡信息。,True
案例-1,陈建国,那好吧，我先转5000元过去给你们。,False
案例-1,系统提示,您的贷款申请仍未通过，请补充征信材料并支付征信费用。,True
案例-1,王强,陈先生，您的征信材料已递交，但需要支付额外的解冻费和刷流水费用，请尽快汇款。,True
案例-1,陈建国,已经转了这么多钱，再多花点都得不到贷款，我好像被骗了，应该报警了。,False
案例-1,黄梅,您好！黄女士，您是我们幸运用户，免费赠送电烤箱。请添加我的微信领取奖品。,True
案例-1,黄丽,真有这么好的事啊？那我加下微信看看什么情况。,False
案例-1,黄梅,好的，黄女士，欢迎加入我们的微信群。做任务赚取现金红包，每做一个小任务就能得到几块钱。,True
案例-1,黄丽,关注微信公众号和抖音点赞这些任务挺简单的，每单还有几块钱，感觉还不错。,False
案例-1,黄梅,为了让您赚更多钱，我们推荐您下载柚聊APP，里面有更多高价任务，完成后立马返现。,True
案例-1,黄丽,刚刚下载了柚聊APP，接了几个小单，返现后已经赚了500元，这下我可以接大单了！,False
案例-1,黄梅,黄女士，您接的任务金额较大，需要支付一些手续费和运营费用，请尽快转账。,True
案例-1,黄丽,操作了好几次，但一直没有成功返现。你们是不是在骗我？,False
案例-1,黄梅,黄女士，这是因为您的信用分不足，需要先完成几个额外的小单才行。,True
案例-1,黄丽,被骗了这么多钱，怎么还没有返现，一定要报警了！,False
案例-1,系统提示,请注意，天下没有免费的午餐，收到可疑短信请立即删除。,False
案例-2,李明,您好，我是某银行的客户服务代表，请问您是张强先生吗？,True
案例-2,张强,是的，请问有什么事吗？,False
案例-2,李明,我们发现您的账户有一笔大额的贵金属购买交易，请问这是您本人操作的吗？,True
案例-2,张强,我没有进行这样的操作，会不会是搞错了？,False
案例-2,李明,好的，张先生，为了保障您的账户安全，我们需要您提供一下账户信息和网银登录密码，以便我们为您核实和退款。,True
