case,speaker,content,is_fraud
案例-0,李先生,信用还行，还有机会贷款。我是不是可以试试看？,False
案例-0,客服,李先生，您好！我们是'还呗'贷款的客服，您由于信用良好，可以获得最高13万的贷款额度哦！您可以点击短信中的链接查看详细信息。,True
案例-0,李先生,好的，我点进链接看了看，显示我可以贷款10万。真的吗？我可以现在把钱转到我的银行账户上吗？,False
案例-0,客服,当然可以！不过我们这边系统显示您可能输入了错误的银行卡号，贷款资金暂时冻结了。您需要下载我们的一款名叫'安聊'的APP，进行解冻操作。,True
案例-0,李先生,银行卡号错误？那我下载这个安聊APP试试看好了。,False
案例-0,客服,您好，李先生。由于您银行卡号输入错误，需要支付5万元的解冻金，我们会立即解冻，并将这5万元与10万元贷款一起返还给您。,True
案例-0,李先生,那我马上去向亲戚朋友借钱，把5万块转到你们的指定银行账户上。,False
案例-0,客服,麻烦您了，李先生。多谢您的配合，我们马上为您解冻。,True
案例-0,李先生,我已经支付了解冻金，银行账户显示仍然无法提现，怎么回事？,False
案例-0,客服,不好意思，李先生。由于您的转账超时，资金仍然被冻结。您需要再支付一笔5万元的解冻金，我们会一并返还之前的金额。,True
案例-0,李先生,又要支付5万元？好吧，我会再向亲戚朋友借钱完成转账。,False
案例-0,客服,多谢您的理解，李先生。我们会尽快处理的。,True
案例-0,李先生,我第二笔5万元已经支付了，现在总该可以提现了吧。,False
案例-0,客服,非常抱歉，李先生。根据最新系统反馈，您需要再支付10万元才能确保资金解冻并提现。,True
案例-0,李先生,什么？还要再支付10万？这完全不合理！我这是被骗了！我要报警！,False
案例-1,李先生,最近资金周转有些紧张，我应该找些办法解决一下。,False
案例-1,张某,尊敬的用户，您好！根据您良好的信用记录，您可以轻松申请高额贷款，利息低，手续简单。立即申请请点击以下链接：www.xinyongfei.com,True
案例-1,李先生,看起来很不错，我点进去看看。,False
案例-1,张某,您好，欢迎使用信用飞APP，申请贷款非常简单。请按照提示填写相关信息，我们会快速审批，并将贷款下放至您的账户。,True
案例-1,李先生,这APP看起来还挺正规，我试着申请一下。,False
案例-1,张某,恭喜您，您的8万元贷款已经批准并准备发放。请确认您的银行卡号。,True
案例-1,李先生,好像还没有到账，怎么回事？,False
案例-1,张某,亲爱的用户，由于您输入的银行卡号有误，导致贷款额度被冻结。请不要担心，我们会帮您解决这个问题。,True
案例-1,李先生,那我该怎么办？,False
案例-1,张某,您需要将此次申请贷款额度的一半，即4万元转到我们指定的账户，用于解冻您的贷款额度。转账后，您的8万元贷款将立即到账。,True
案例-1,李先生,我刚转了4万元，现在可以解冻我的贷款了吗？,False
案例-1,张某,亲爱的用户，很抱歉，由于银行系统的原因，您的贷款再次被冻结。您需要再转一次4万元来完全解冻。,True
案例-1,李先生,这个情况有点奇怪，但为了不影响资金周转，我再转一次吧。,False
案例-1,张某,感谢您的合作，处理完这次转账后，您的贷款将会顺利提款。,True
案例-1,李先生,我又转了4万元，这次应该可以了吧？,False
案例-1,张某,非常抱歉，系统显示仍有问题，我们建议您再次转账以解决全部问题。,True
案例-1,李先生,我可能被骗了，怎么会一直要我转账呢？,False
案例-2,张伟,你好，我是某某贷款平台的工作人员。我们这边有无抵押、无担保的低息贷款，利息很低，下款也非常快。您最近有什么贷款需求吗？,True
案例-2,邵某,最近确实有些需要，能不能详细说一下你们的贷款条件？,False
案例-2,张伟,当然可以。我们只需要您的身份证和基本的个人信息，不需要征信报告，流程非常简单。您只需要加入我们的贷款交流群，然后提交申请信息就可以了。我给您一个QQ群号，您加入之后会有专人跟您对接。,True
案例-2,邵某,好的，请给我群号。,False
案例-2,张伟,群号是123456，请您尽快加入，我们的顾问会指导您具体操作。,True
案例-2,邵某,已加入群聊，我需要做些什么？,False
