case,speaker,content,is_fraud
案例-0,张强,你好，我是张强，最近在关注金融投资，看到了您的帖子，感觉很有共鸣，不知道您是否有兴趣一起交流和投资呢？,True
案例-0,李明,你好张强，我也对投资很感兴趣。您通常投资哪些领域呢？,False
案例-0,张强,主要是一些比较稳健的基金和股票，我最近在研究一个新兴的投资项目，收益非常不错。如果您有兴趣，我可以详细给您介绍一下。,True
案例-0,李明,听起来不错，能不能详细说说这个项目是什么？,False
案例-0,张强,这是一个国际投资项目，主要涉及新兴市场的高收益产品，回报率很高，而且风险较低。我自己投了不少，已经赚了不少收益。如果您有兴趣，可以先小额试试，一开始只需要投入不多的钱。,True
案例-0,李明,那听起来不错。如果我现在投资，怎么操作呢？,False
案例-0,张强,很简单，我这边有一个平台链接，您注册一下，然后充值资金。我建议先试试投个一万元，这样可以看到实际的收益情况。,True
案例-0,李明,好，我稍后会去注册，注册好后告诉您。,False
案例-0,张强,好的，您注册之后告诉我，我会帮您看着账号，确保一切顺利进行。这个项目真的很不错，我相信您在短时间内就能看到可观的回报。,True
案例-0,李明,我已经注册好了，也充值了1万元。接下来需要怎么做？,False
案例-0,张强,非常棒！我这边帮您看着账号，预计一周后您就能看到收益翻倍。届时我会提醒您，可以继续追加投入，赚更多的钱。,True
案例-0,李明,好的，那就麻烦您了。,False
案例-0,张强,没问题，我们就是互相帮助！,True
案例-1,李晓明,你好，我是李晓明，看到你的个人资料觉得和你很有共同语言，可以交个朋友吗？,False
案例-1,王莉,你好，李晓明，很高兴认识你。我们可以聊聊。,False
案例-1,李晓明,王莉，你喜欢旅行吗？我特别喜欢探索新地方，感觉每次旅行都有新的收获。,False
案例-1,王莉,是啊，我也喜欢旅行，觉得旅行能让人放松，也能增长见闻。,False
案例-1,李晓明,没错，有机会的话我们可以一起去旅行。我觉得和志同道合的人一起旅行才能更开心。,False
案例-1,王莉,对啊，和有共同爱好的人旅行确实更有趣。,False
案例-1,李晓明,对了，我最近发现了一个不错的投资机会，是我一个权威金融顾问朋友推荐的。你有没有兴趣了解一下？,True
案例-1,王莉,听起来挺不错的，能告诉我具体情况吗？,False
案例-1,李晓明,这个项目回报率很高，操作也相对简单。我要向你推荐这个也是因为我们是朋友，而且我已经从中赚了不少钱了。如果你相信我，可以考虑一下。,True
案例-1,王莉,真的吗？需要投入多少资金？,False
案例-1,李晓明,初期投入不多，几千元起步就可以，而且风险也很小。我可以帮你操作，确保你的收益。,True
案例-1,王莉,听上去很吸引人，我需要怎么开始？,False
案例-1,李晓明,你只需要把资金打到这个账户上，然后把银行转账凭证发给我，我帮你处理后续操作。记得打款时备注‘投资’。,True
案例-1,王莉,好的，我这就去处理。,False
案例-2,李强,你好，王女士，我是李强，在这个‘撸货群’里面已经好几年了，有很多好的购买经验和优惠信息可以分享给你。,False
案例-2,王芳,你好，李强，很高兴认识你，我刚进群不久，还不太熟悉。,False
案例-2,李强,没关系，以后有啥问题都可以问我。我最近有些很好的美妆和医药产品的内幕信息，可以给你提供优惠券，这样你可以低价买到优质产品。,True
案例-2,王芳,那真是太好了，谢谢你，李强！,False
案例-2,李强,王女士，你知道吗？现在‘中鑫金业’APP正在搞活动，可以用优惠券购买投资金条，然后转卖赚取差价，真的很划算。,True
案例-2,王芳,真的吗？那听起来不错，我可以试试。,False
案例-2,李强,当然，我已经买过几次了，每次都赚到不少呢，而且这个平台的金价和市场金价差不多，你可以放心。,True
案例-2,王芳,好吧，我试试买几根看看效果。,False
案例-2,李强,放心吧，有什么问题可以随时找我。我推荐你用多个手机号注册账号，每天限制购买的金条更多，这样赚得更多。,True
案例-2,王芳,好的，我后续会多买几次。,False
案例-2,王芳,李强，为什么这几天我下单都没有收到货，客服也联系不上？,False
案例-2,李强,可能是最近订单太多了，他们发货速度慢了点，你再等等看。,True
案例-2,王芳,不行，我等了几天还是一样，我已经投入近130万了，现在真是心急如焚。,False
案例-2,李强,我相信很快就会解决的，也许系统维护或者客服忙不过来，你稍安勿躁。,True
案例-2,王芳,李强，现在群里说这个公司已经跑路了，你知道什么情况吗？,False
案例-2,李强,我也刚知道这个消息，真的很抱歉，王女士。希望咱们联系警方，看能不能追回损失。,True
案例-3,范某某,大家好，我是深圳市中鑫城投资有限公司的负责人范某某。我们公司最近推出了一款叫做中鑫黄金的App，主要是销售金银珠宝产品，而且价格比市场价格低20元左右。希望大家多多支持！,True
案例-3,吴丹,你好，我看到你们App上的黄金价格确实比市场便宜，可以放心购买吗？,False
案例-3,范某某,当然可以，我们公司在深圳已经有很多年历史，信誉可靠。购买后会直接邮寄给您，而且我们还有主动客服随时为您提供帮助。,True
案例-3,吴丹,那太好了，我先买10克试试。,False
案例-3,吴丹,你好，我收到金子了，确实是真的。我再买20克。,False
案例-3,吴丹,我这次不仅买了20克，还找家里人一起买了更多，真是赚到了！,False
案例-3,范某某,非常感谢您的支持！我们这个活动限量销售，每晚10点到8点开放。每天的货量有限，快来抢购！,True
案例-3,吴丹,我发现通过参加预售可以更多地下单，这次买了760克黄金。,False
案例-3,范某某,非常感谢您的大力支持，我们会尽快为您发货。,True
案例-3,吴丹,怎么回事，你们的客服怎么变成自动回复了？群也解散了，我的黄金呢？,False
案例-3,范某某,我们也在，我们公司遇到了一些问题，但我们会尽快解决，大家放心。,True
案例-3,徐克,我也被骗了，买的640克黄金到现在还没到。我打了范某某很多电话才接通，他说会解决，但之后电话也不接了。,False
案例-3,范某某,各位受害者，我们深感抱歉，这两天一定会承担责任。,True
案例-3,周岩,我的价值46万元的黄金也没收到，这真的是骗局啊。,False
案例-4,李海清,你好，我是李海清，你可以叫我海清。我是一个金融理财师，不知道你对投资感不感兴趣呢？,True
案例-4,王女士,你好，海清，我对投资有些兴趣，但不太懂怎么操作，你能教我吗？,False
案例-4,李海清,当然可以。我一直在做投资理财，有很多成功的案例。如果你感兴趣，我可以带你一步步来，确保你获得不错的回报。,True
案例-4,王女士,那真是太好了！我现在手上有一些闲钱，不知道你有什么推荐的投资项目吗？,False
案例-4,李海清,目前我们有一些非常好的外汇投资项目。你可以下载我们推荐的理财软件直接操作，非常简单方便。,True
案例-4,王女士,好的，我下载了软件，然后呢？,False
案例-4,李海清,你可以先尝试投入几百块钱试试水，看看收益效果。这个平台安全可靠，许多朋友在这里都赚到了钱。,True
案例-4,王女士,我投了几百块钱，真的有收益呢！,False
案例-4,李海清,对吧，我没有骗你吧。接下来你可以逐步加大投资额，你会发现收益会更高。不妨再试试投入几千元看看效果。,True
案例-4,王女士,那好吧，我再投几千元。,False
案例-4,李海清,你看，这次的收益更高了吧？其实像你这样稳健投资的人，只要多投入点，收益绝对让你满意。而且要想提现的话，只需要达到一定的投资金额即可。,True
案例-4,王女士,我现在已经投了二十万左右，但是想提一部分出来，系统提示我必须达到更高的投资金额才能提现，我已经没有那么多钱了。,False
案例-4,李海清,没关系，我可以先帮你垫资十万元，这样你就可以达到要求了，然后你只需要再投入十多万元就可以完全提现了。,True
案例-4,王女士,谢谢你帮忙，我再想办法借一点钱。,False
案例-4,王女士,我已经投入所有钱了，现在账户怎么显示异常无法登录？你能帮我看看吗？,False
案例-4,（王女士发现被拉黑）,（无法联系对方）,True
案例-5,梁博（诈骗者）,您好，我是某婚恋网站的工作人员，看到您的信息觉得咱们很适合，方便加个微信聊吗？,True
案例-5,刘丽（受害者）,你好，可以的，这是我的微信号：xxyyzz。,False
案例-5,梁博,加上了，您最近如何呀？工作生活都顺利吗？,True
案例-5,刘丽,还好吧，就是最近炒股亏了一些钱，心情不太好。,False
案例-5,梁博,哦，原来这样啊。其实我是一名货币金融的技术总监，最近我们这边赚钱的机会还不错。,True
案例-5,刘丽,真的？货币金融是怎么操作的？,False
案例-5,梁博,其实操作很简单，和炒股类似，低价买入，高价卖出。我可以教你一些基本操作，保证你能赚到钱。,True
案例-5,刘丽,听起来不错，我可以试试吗？,False
案例-5,梁博,当然可以，我先给你发一个网址，下载一个叫“ro*****ka”的APP，并注册一个账号。,True
